U, (V)	I, (uA)
0.03	0
0.46	0.08
1.21	3.5
1.86	5.56
2.53	6.64
2.85	6.96
3.4	7.36
3.99	7.72
4.29	7.94
4.76	8.22
5.31	8.5
6.11	8.9
6.94	9.4
8.13	10.42
9.31	11.7
10.29	14.76
10.33	24.84
10.44	146.41
10.5	233.3
10.57	428.6
10.62	760.6
10.65	1003.1
10.69	1366.7
10.7	1499.1
