Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usd=0.00E+0V,Usd=166.67E-3V,Usd=333.33E-3V,Usd=500.00E-3V,Usd=666.67E-3V,Usd=833.33E-3V,Usd=1.00E+0V
1.31717E+0,1.21807E-4,1.46442E-3,1.55227E-3,1.56452E-3,1.57898E-3,1.59565E-3,1.61139E-3
1.33030E+0,1.28844E-4,1.59440E-3,1.70045E-3,1.71442E-3,1.73002E-3,1.74766E-3,1.76426E-3
1.34343E+0,1.36102E-4,1.73134E-3,1.85860E-3,1.87456E-3,1.89115E-3,1.90989E-3,1.92763E-3
1.35657E+0,1.43443E-4,1.87506E-3,2.02699E-3,2.04520E-3,2.06292E-3,2.08288E-3,2.10167E-3
1.36970E+0,1.50788E-4,2.02543E-3,2.20571E-3,2.22668E-3,2.24564E-3,2.26681E-3,2.28666E-3
1.38283E+0,1.58282E-4,2.18228E-3,2.39515E-3,2.41940E-3,2.43978E-3,2.46214E-3,2.48312E-3
1.39596E+0,1.65869E-4,2.34535E-3,2.59532E-3,2.62349E-3,2.64526E-3,2.66890E-3,2.69112E-3
1.40909E+0,1.73417E-4,2.51436E-3,2.80664E-3,2.83933E-3,2.86264E-3,2.88753E-3,2.91109E-3
1.42222E+0,1.81049E-4,2.68931E-3,3.02920E-3,3.06732E-3,3.09231E-3,3.11855E-3,3.14355E-3
1.43535E+0,1.88683E-4,2.86914E-3,3.26237E-3,3.30666E-3,3.33369E-3,3.36135E-3,3.38756E-3
1.44848E+0,1.96424E-4,3.05455E-3,3.50756E-3,3.55928E-3,3.58838E-3,3.61770E-3,3.64521E-3
1.46162E+0,2.04221E-4,3.24467E-3,3.76409E-3,3.82459E-3,3.85587E-3,3.88700E-3,3.91595E-3
1.47475E+0,2.11934E-4,3.43927E-3,4.03220E-3,4.10290E-3,4.13659E-3,4.16955E-3,4.20007E-3
1.48788E+0,2.19639E-4,3.63786E-3,4.31160E-3,4.39428E-3,4.43076E-3,4.46562E-3,4.49780E-3
1.50101E+0,2.27309E-4,3.84014E-3,4.60240E-3,4.69898E-3,4.73853E-3,4.77537E-3,4.80948E-3
1.51414E+0,2.34883E-4,4.04576E-3,4.90427E-3,5.01729E-3,5.06047E-3,5.09926E-3,5.13533E-3
1.52727E+0,2.42615E-4,4.25413E-3,5.21737E-3,5.34908E-3,5.39645E-3,5.43776E-3,5.47539E-3
1.54040E+0,2.50204E-4,4.46499E-3,5.54112E-3,5.69484E-3,5.74668E-3,5.79024E-3,5.82994E-3
1.55354E+0,2.57640E-4,4.67797E-3,5.87534E-3,6.05431E-3,6.11093E-3,6.15721E-3,6.19932E-3
1.56667E+0,2.65244E-4,4.89218E-3,6.21929E-3,6.42665E-3,6.48949E-3,6.53850E-3,6.58254E-3
1.57980E+0,2.72895E-4,5.10819E-3,6.57359E-3,6.81417E-3,6.88333E-3,6.93530E-3,6.98173E-3
1.59293E+0,2.80377E-4,5.32499E-3,6.93749E-3,7.21559E-3,7.29203E-3,7.34741E-3,7.39639E-3
1.60606E+0,2.87656E-4,5.54307E-3,7.31020E-3,7.63085E-3,7.71602E-3,7.77478E-3,7.82692E-3
1.61919E+0,2.94932E-4,5.76124E-3,7.69150E-3,8.05992E-3,8.15507E-3,8.21747E-3,8.27249E-3
1.63232E+0,3.02392E-4,5.97971E-3,8.08038E-3,8.50325E-3,8.60912E-3,8.67629E-3,8.73433E-3
1.64545E+0,3.09567E-4,6.19792E-3,8.47676E-3,8.96035E-3,9.07892E-3,9.15043E-3,9.21197E-3
1.65859E+0,3.16823E-4,6.41576E-3,8.87991E-3,9.43107E-3,9.56436E-3,9.64101E-3,9.70610E-3
1.67172E+0,3.23723E-4,6.63293E-3,9.28904E-3,9.91518E-3,1.00661E-2,1.01490E-2,1.02187E-2
1.68485E+0,3.30773E-4,6.84911E-3,9.70352E-3,1.04133E-2,1.05823E-2,1.06712E-2,1.07446E-2
1.69798E+0,3.37788E-4,7.06371E-3,1.01212E-2,1.09219E-2,1.11126E-2,1.12086E-2,1.12859E-2
1.71111E+0,3.44650E-4,7.27769E-3,1.05445E-2,1.14445E-2,1.16604E-2,1.17638E-2,1.18457E-2
1.72424E+0,3.51471E-4,7.49037E-3,1.09707E-2,1.19793E-2,1.22230E-2,1.23348E-2,1.24215E-2
1.73737E+0,3.58286E-4,7.70137E-3,1.13997E-2,1.25258E-2,1.28016E-2,1.29224E-2,1.30141E-2
1.75051E+0,3.64864E-4,7.91114E-3,1.18307E-2,1.30833E-2,1.33949E-2,1.35266E-2,1.36239E-2
1.76364E+0,3.71490E-4,8.11849E-3,1.22632E-2,1.36515E-2,1.40038E-2,1.41473E-2,1.42505E-2
1.77677E+0,3.77976E-4,8.32454E-3,1.26960E-2,1.42297E-2,1.46276E-2,1.47843E-2,1.48942E-2
1.78990E+0,3.84418E-4,8.52867E-3,1.31292E-2,1.48175E-2,1.52668E-2,1.54384E-2,1.55551E-2
1.80303E+0,3.90573E-4,8.73019E-3,1.35619E-2,1.54140E-2,1.59204E-2,1.61088E-2,1.62329E-2
1.81616E+0,3.96788E-4,8.92959E-3,1.39937E-2,1.60177E-2,1.65884E-2,1.67956E-2,1.69280E-2
1.82929E+0,4.03113E-4,9.12648E-3,1.44228E-2,1.66275E-2,1.72689E-2,1.74969E-2,1.76386E-2
1.84242E+0,4.09313E-4,9.32174E-3,1.48515E-2,1.72446E-2,1.79654E-2,1.82167E-2,1.83682E-2
1.85556E+0,4.15340E-4,9.51436E-3,1.52786E-2,1.78679E-2,1.86747E-2,1.89528E-2,1.91147E-2
1.86869E+0,4.21170E-4,9.70471E-3,1.57019E-2,1.84959E-2,1.93976E-2,1.97049E-2,1.98784E-2
1.88182E+0,4.27134E-4,9.89281E-3,1.61220E-2,1.91267E-2,2.01323E-2,2.04730E-2,2.06594E-2
1.89495E+0,4.33046E-4,1.00787E-2,1.65390E-2,1.97602E-2,2.08791E-2,2.12569E-2,2.14573E-2
1.90808E+0,4.38843E-4,1.02626E-2,1.69524E-2,2.03960E-2,2.16367E-2,2.20572E-2,2.22728E-2
1.92121E+0,4.44269E-4,1.04445E-2,1.73617E-2,2.10331E-2,2.24050E-2,2.28719E-2,2.31047E-2
1.93434E+0,4.49921E-4,1.06229E-2,1.77675E-2,2.16703E-2,2.31835E-2,2.37023E-2,2.39544E-2
1.94747E+0,4.55619E-4,1.07991E-2,1.81683E-2,2.23064E-2,2.39710E-2,2.45476E-2,2.48195E-2
1.96061E+0,4.60989E-4,1.09730E-2,1.85647E-2,2.29414E-2,2.47658E-2,2.54073E-2,2.57023E-2
1.97374E+0,4.66470E-4,1.11438E-2,1.89560E-2,2.35733E-2,2.55669E-2,2.62788E-2,2.65998E-2
1.98687E+0,4.71891E-4,1.13133E-2,1.93424E-2,2.42033E-2,2.63756E-2,2.71656E-2,2.75155E-2
2.00000E+0,4.77023E-4,1.14797E-2,1.97239E-2,2.48306E-2,2.71899E-2,2.80658E-2,2.84474E-2
