Matavo anoniminis tinginys

Usd,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usg=1.00E+0V,Usg=1.17E+0V,Usg=1.33E+0V,Usg=1.50E+0V,Usg=1.67E+0V,Usg=1.83E+0V,Usg=2.00E+0V
5.25253E-1,7.75493E-5,4.59102E-4,1.75543E-3,4.71600E-3,9.88509E-3,1.72253E-2,2.55970E-2
5.15152E-1,7.75490E-5,4.59103E-4,1.75529E-3,4.71459E-3,9.87450E-3,1.71621E-2,2.53937E-2
5.05051E-1,7.75407E-5,4.59030E-4,1.75504E-3,4.71328E-3,9.86265E-3,1.70936E-2,2.51799E-2
4.94949E-1,7.75318E-5,4.59032E-4,1.75484E-3,4.71175E-3,9.84948E-3,1.70185E-2,2.49545E-2
4.84848E-1,7.75310E-5,4.58985E-4,1.75461E-3,4.70998E-3,9.83493E-3,1.69371E-2,2.47194E-2
4.74747E-1,7.75265E-5,4.58952E-4,1.75425E-3,4.70784E-3,9.81821E-3,1.68493E-2,2.44721E-2
4.64646E-1,7.75268E-5,4.58921E-4,1.75413E-3,4.70568E-3,9.79998E-3,1.67537E-2,2.42145E-2
4.54545E-1,7.75223E-5,4.58867E-4,1.75388E-3,4.70319E-3,9.77920E-3,1.66505E-2,2.39449E-2
4.44444E-1,7.75198E-5,4.58866E-4,1.75352E-3,4.70018E-3,9.75615E-3,1.65397E-2,2.36647E-2
4.34343E-1,7.75104E-5,4.58811E-4,1.75319E-3,4.69714E-3,9.73021E-3,1.64202E-2,2.33729E-2
4.24242E-1,7.75046E-5,4.58788E-4,1.75273E-3,4.69331E-3,9.70109E-3,1.62914E-2,2.30685E-2
4.14141E-1,7.74969E-5,4.58731E-4,1.75241E-3,4.68920E-3,9.66858E-3,1.61538E-2,2.27543E-2
4.04040E-1,7.74972E-5,4.58672E-4,1.75199E-3,4.68448E-3,9.63247E-3,1.60059E-2,2.24269E-2
3.93939E-1,7.74916E-5,4.58659E-4,1.75140E-3,4.67890E-3,9.59246E-3,1.58484E-2,2.20896E-2
3.83838E-1,7.74839E-5,4.58589E-4,1.75084E-3,4.67279E-3,9.54726E-3,1.56807E-2,2.17384E-2
3.73737E-1,7.74809E-5,4.58568E-4,1.75019E-3,4.66585E-3,9.49785E-3,1.55022E-2,2.13769E-2
3.63636E-1,7.74761E-5,4.58458E-4,1.74942E-3,4.65772E-3,9.44261E-3,1.53126E-2,2.10044E-2
3.53535E-1,7.74651E-5,4.58404E-4,1.74856E-3,4.64817E-3,9.38133E-3,1.51113E-2,2.06185E-2
3.43434E-1,7.74658E-5,4.58346E-4,1.74763E-3,4.63748E-3,9.31391E-3,1.48988E-2,2.02226E-2
3.33333E-1,7.74618E-5,4.58244E-4,1.74649E-3,4.62506E-3,9.23927E-3,1.46739E-2,1.98137E-2
3.23232E-1,7.74489E-5,4.58154E-4,1.74516E-3,4.61089E-3,9.15728E-3,1.44388E-2,1.93950E-2
3.13131E-1,7.74443E-5,4.58022E-4,1.74365E-3,4.59472E-3,9.06761E-3,1.41914E-2,1.89646E-2
3.03030E-1,7.74376E-5,4.57917E-4,1.74175E-3,4.57575E-3,8.96877E-3,1.39302E-2,1.85211E-2
2.92929E-1,7.74288E-5,4.57796E-4,1.73957E-3,4.55409E-3,8.86129E-3,1.36580E-2,1.80685E-2
2.82828E-1,7.74201E-5,4.57575E-4,1.73693E-3,4.52906E-3,8.74372E-3,1.33723E-2,1.76012E-2
2.72727E-1,7.74090E-5,4.57386E-4,1.73370E-3,4.50043E-3,8.61658E-3,1.30746E-2,1.71244E-2
2.62626E-1,7.73937E-5,4.57145E-4,1.72999E-3,4.46752E-3,8.47834E-3,1.27628E-2,1.66369E-2
2.52525E-1,7.73784E-5,4.56859E-4,1.72528E-3,4.43009E-3,8.32958E-3,1.24399E-2,1.61400E-2
2.42424E-1,7.73564E-5,4.56468E-4,1.71986E-3,4.38753E-3,8.16951E-3,1.21046E-2,1.56330E-2
2.32323E-1,7.73352E-5,4.55993E-4,1.71337E-3,4.33890E-3,7.99687E-3,1.17553E-2,1.51128E-2
2.22222E-1,7.72996E-5,4.55434E-4,1.70562E-3,4.28396E-3,7.81264E-3,1.13944E-2,1.45840E-2
2.12121E-1,7.72685E-5,4.54705E-4,1.69609E-3,4.22205E-3,7.61513E-3,1.10196E-2,1.40422E-2
2.02020E-1,7.72118E-5,4.53764E-4,1.68487E-3,4.15217E-3,7.40504E-3,1.06339E-2,1.34925E-2
1.91919E-1,7.71458E-5,4.52614E-4,1.67131E-3,4.07406E-3,7.18265E-3,1.02361E-2,1.29330E-2
1.81818E-1,7.70584E-5,4.51139E-4,1.65508E-3,3.98676E-3,6.94623E-3,9.82378E-3,1.23630E-2
1.71717E-1,7.69399E-5,4.49248E-4,1.63573E-3,3.88955E-3,6.69617E-3,9.40028E-3,1.17815E-2
1.61616E-1,7.67874E-5,4.46867E-4,1.61278E-3,3.78188E-3,6.43255E-3,8.96459E-3,1.11906E-2
1.51515E-1,7.65771E-5,4.43795E-4,1.58550E-3,3.66319E-3,6.15522E-3,8.51639E-3,1.05903E-2
1.41414E-1,7.63078E-5,4.39935E-4,1.55328E-3,3.53262E-3,5.86390E-3,8.05614E-3,9.97934E-3
1.31313E-1,7.59259E-5,4.35043E-4,1.51534E-3,3.38983E-3,5.55842E-3,7.58386E-3,9.35923E-3
1.21212E-1,7.54255E-5,4.28806E-4,1.47101E-3,3.23418E-3,5.23925E-3,7.10036E-3,8.73000E-3
1.11111E-1,7.47391E-5,4.20935E-4,1.41944E-3,3.06507E-3,4.90621E-3,6.60432E-3,8.09117E-3
1.01010E-1,7.38159E-5,4.11034E-4,1.35983E-3,2.88245E-3,4.55896E-3,6.09725E-3,7.44335E-3
9.09091E-2,7.25740E-5,3.98624E-4,1.29123E-3,2.68554E-3,4.19787E-3,5.57869E-3,6.78646E-3
8.08081E-2,7.09039E-5,3.83106E-4,1.21290E-3,2.47419E-3,3.82290E-3,5.04854E-3,6.11976E-3
7.07071E-2,6.86588E-5,3.63930E-4,1.12391E-3,2.24814E-3,3.43420E-3,4.50771E-3,5.44467E-3
6.06061E-2,6.56519E-5,3.40300E-4,1.02343E-3,2.00710E-3,3.03190E-3,3.95562E-3,4.76091E-3
5.05051E-2,6.16551E-5,3.11431E-4,9.09783E-4,1.75095E-3,2.61610E-3,3.39302E-3,4.06863E-3
4.04040E-2,5.63503E-5,2.76457E-4,7.83970E-4,1.47963E-3,2.18680E-3,2.81927E-3,3.36767E-3
3.03030E-2,4.93727E-5,2.34400E-4,6.44493E-4,1.19290E-3,1.74416E-3,2.23512E-3,2.65801E-3
2.02020E-2,4.02541E-5,1.84217E-4,4.90600E-4,8.89831E-4,1.28867E-3,1.64071E-3,1.94042E-3
1.01010E-2,2.84245E-5,1.24917E-4,3.21879E-4,5.72337E-4,8.18938E-4,1.03609E-3,1.21461E-3
0.00000E+0,1.32324E-5,5.54423E-5,1.37752E-4,2.39630E-4,3.37681E-4,4.20239E-4,4.79479E-4
