U, (V)	I, (uA)
0.33	0
0.568	2.2
0.954	3.94
1.844	6.12
2.56	6.82
3.26	7.26
3.86	7.5
4.86	7.96
5.62	8.26
7.03	9.02
8.09	9.78
8.32	10.04
9.64	11.48
9.98	38.65
10.01	217
10.08	574.4
10.1	941.5
10.15	1967
