U, (V)	I, (uA)
0.034	0
5.34	0.36
0.739	1.06
0.872	1.92
0.984	3.24
1.171	8.26
1.263	13.18
1.351	20.44
1.456	33.96
1.539	49.79
1.632	75.5
1.822	189.4
1.943	264.59
2.14	544.4
2.22	712.1
2.58	2056.5
2.65	2540.7
2.7	2879.6
2.74	3224.8
2.79	3698.2
2.89	4739
2.94	5357
3.16	9336
3.3	13384
