Source,CH1
Second,Volt
-0.00000075000,0.00,
-0.00000074800,-0.02400,
-0.00000074600,-0.00800,
-0.00000074400,0.00,
-0.00000074200,-0.00800,
-0.00000074000,-0.00800,
-0.00000073800,-0.02400,
-0.00000073600,-0.00800,
-0.00000073400,0.00800,
-0.00000073200,0.00,
-0.00000073000,-0.00800,
-0.00000072800,-0.02400,
-0.00000072600,-0.00800,
-0.00000072400,0.00800,
-0.00000072200,-0.00800,
-0.00000072000,0.00,
-0.00000071800,-0.02400,
-0.00000071600,-0.01600,
-0.00000071400,0.00,
-0.00000071200,-0.00800,
-0.00000071000,-0.00800,
-0.00000070800,-0.01600,
-0.00000070600,-0.00800,
-0.00000070400,0.00,
-0.00000070200,0.00,
-0.00000070000,-0.00800,
-0.00000069800,-0.02400,
-0.00000069600,-0.00800,
-0.00000069400,0.00800,
-0.00000069200,-0.00800,
-0.00000069000,-0.00800,
-0.00000068800,-0.01600,
-0.00000068600,-0.00800,
-0.00000068400,0.00,
-0.00000068200,0.00,
-0.00000068000,-0.00800,
-0.00000067800,-0.02400,
-0.00000067600,-0.00800,
-0.00000067400,0.00,
-0.00000067200,-0.00800,
-0.00000067000,-0.00800,
-0.00000066800,-0.02400,
-0.00000066600,-0.00800,
-0.00000066400,0.00800,
-0.00000066200,-0.00800,
-0.00000066000,-0.00800,
-0.00000065800,-0.01600,
-0.00000065600,-0.00800,
-0.00000065400,0.00800,
-0.00000065200,0.00,
-0.00000065000,-0.00800,
-0.00000064800,-0.02400,
-0.00000064600,-0.00800,
-0.00000064400,0.00800,
-0.00000064200,0.00,
-0.00000064000,-0.00800,
-0.00000063800,-0.02400,
-0.00000063600,-0.00800,
-0.00000063400,0.00800,
-0.00000063200,-0.00800,
-0.00000063000,-0.00800,
-0.00000062800,-0.02400,
-0.00000062600,-0.01600,
-0.00000062400,0.00,
-0.00000062200,-0.00800,
-0.00000062000,-0.00800,
-0.00000061800,-0.02400,
-0.00000061600,-0.00800,
-0.00000061400,0.00800,
-0.00000061200,-0.00800,
-0.00000061000,-0.00800,
-0.00000060800,-0.02400,
-0.00000060600,-0.00800,
-0.00000060400,0.00800,
-0.00000060200,-0.00800,
-0.00000060000,-0.00800,
-0.00000059800,-0.02400,
-0.00000059600,-0.00800,
-0.00000059400,0.00,
-0.00000059200,-0.00800,
-0.00000059000,0.00,
-0.00000058800,-0.02400,
-0.00000058600,-0.00800,
-0.00000058400,0.00,
-0.00000058200,-0.00800,
-0.00000058000,-0.00800,
-0.00000057800,-0.01600,
-0.00000057600,0.00,
-0.00000057400,0.00,
-0.00000057200,-0.00800,
-0.00000057000,-0.00800,
-0.00000056800,-0.02400,
-0.00000056600,-0.00800,
-0.00000056400,0.00,
-0.00000056200,-0.00800,
-0.00000056000,-0.00800,
-0.00000055800,-0.02400,
-0.00000055600,-0.01600,
-0.00000055400,0.00,
-0.00000055200,0.00,
-0.00000055000,-0.00800,
-0.00000054800,-0.02400,
-0.00000054600,-0.00800,
-0.00000054400,-0.00800,
-0.00000054200,-0.00800,
-0.00000054000,0.00,
-0.00000053800,-0.01600,
-0.00000053600,-0.00800,
-0.00000053400,-0.00800,
-0.00000053200,-0.00800,
-0.00000053000,-0.00800,
-0.00000052800,-0.01600,
-0.00000052600,-0.00800,
-0.00000052400,0.00,
-0.00000052200,-0.00800,
-0.00000052000,-0.00800,
-0.00000051800,-0.02400,
-0.00000051600,0.00,
-0.00000051400,0.00,
-0.00000051200,-0.00800,
-0.00000051000,-0.00800,
-0.00000050800,-0.01600,
-0.00000050600,-0.00800,
-0.00000050400,0.00,
-0.00000050200,-0.00800,
-0.00000050000,-0.00800,
-0.00000049800,-0.01600,
-0.00000049600,-0.00800,
-0.00000049400,-0.00800,
-0.00000049200,-0.00800,
-0.00000049000,-0.00800,
-0.00000048800,-0.02400,
-0.00000048600,-0.00800,
-0.00000048400,0.00,
-0.00000048200,-0.00800,
-0.00000048000,-0.01600,
-0.00000047800,-0.02400,
-0.00000047600,0.00,
-0.00000047400,0.00,
-0.00000047200,-0.00800,
-0.00000047000,-0.00800,
-0.00000046800,-0.02400,
-0.00000046600,-0.00800,
-0.00000046400,0.00800,
-0.00000046200,0.00,
-0.00000046000,-0.00800,
-0.00000045800,-0.02400,
-0.00000045600,-0.00800,
-0.00000045400,0.00,
-0.00000045200,0.00,
-0.00000045000,0.00,
-0.00000044800,-0.02400,
-0.00000044600,-0.01600,
-0.00000044400,-0.00800,
-0.00000044200,-0.00800,
-0.00000044000,0.00,
-0.00000043800,-0.01600,
-0.00000043600,-0.00800,
-0.00000043400,-0.00800,
-0.00000043200,-0.00800,
-0.00000043000,0.00,
-0.00000042800,-0.01600,
-0.00000042600,0.00,
-0.00000042400,0.00,
-0.00000042200,-0.00800,
-0.00000042000,-0.00800,
-0.00000041800,-0.02400,
-0.00000041600,-0.00800,
-0.00000041400,0.00,
-0.00000041200,-0.00800,
-0.00000041000,-0.00800,
-0.00000040800,-0.02400,
-0.00000040600,-0.01600,
-0.00000040400,0.00,
-0.00000040200,0.00,
-0.00000040000,-0.00800,
-0.00000039800,-0.02400,
-0.00000039600,-0.00800,
-0.00000039400,0.00800,
-0.00000039200,-0.00800,
-0.00000039000,-0.00800,
-0.00000038800,-0.01600,
-0.00000038600,-0.00800,
-0.00000038400,0.00,
-0.00000038200,0.00,
-0.00000038000,-0.00800,
-0.00000037800,-0.02400,
-0.00000037600,-0.01600,
-0.00000037400,0.00,
-0.00000037200,0.00,
-0.00000037000,0.00,
-0.00000036800,-0.02400,
-0.00000036600,-0.02400,
-0.00000036400,0.00,
-0.00000036200,0.00800,
-0.00000036000,0.00,
-0.00000035800,-0.02400,
-0.00000035600,-0.00800,
-0.00000035400,0.00,
-0.00000035200,0.00,
-0.00000035000,0.00,
-0.00000034800,-0.02400,
-0.00000034600,-0.00800,
-0.00000034400,0.00,
-0.00000034200,0.00,
-0.00000034000,-0.00800,
-0.00000033800,-0.02400,
-0.00000033600,-0.00800,
-0.00000033400,0.00800,
-0.00000033200,-0.00800,
-0.00000033000,-0.00800,
-0.00000032800,-0.02400,
-0.00000032600,-0.00800,
-0.00000032400,0.00,
-0.00000032200,0.00,
-0.00000032000,-0.00800,
-0.00000031800,-0.02400,
-0.00000031600,-0.00800,
-0.00000031400,0.00,
-0.00000031200,0.00,
-0.00000031000,-0.00800,
-0.00000030800,-0.02400,
-0.00000030600,-0.00800,
-0.00000030400,0.00800,
-0.00000030200,0.00,
-0.00000030000,-0.00800,
-0.00000029800,-0.02400,
-0.00000029600,-0.00800,
-0.00000029400,0.00,
-0.00000029200,0.00,
-0.00000029000,0.00,
-0.00000028800,-0.01600,
-0.00000028600,-0.01600,
-0.00000028400,0.00,
-0.00000028200,0.00,
-0.00000028000,0.00,
-0.00000027800,-0.02400,
-0.00000027600,-0.01600,
-0.00000027400,-0.00800,
-0.00000027200,-0.00800,
-0.00000027000,0.00,
-0.00000026800,-0.01600,
-0.00000026600,-0.00800,
-0.00000026400,-0.00800,
-0.00000026200,-0.00800,
-0.00000026000,0.00,
-0.00000025800,-0.01600,
-0.00000025600,-0.00800,
-0.00000025400,0.00,
-0.00000025200,-0.01600,
-0.00000025000,-0.00800,
-0.00000024800,-0.00800,
-0.00000024600,-0.00800,
-0.00000024400,-0.01600,
-0.00000024200,-0.00800,
-0.00000024000,-0.00800,
-0.00000023800,-0.02400,
-0.00000023600,-0.00800,
-0.00000023400,0.00,
-0.00000023200,-0.01600,
-0.00000023000,-0.00800,
-0.00000022800,-0.02400,
-0.00000022600,0.00,
-0.00000022400,0.00,
-0.00000022200,-0.00800,
-0.00000022000,-0.00800,
-0.00000021800,-0.02400,
-0.00000021600,-0.00800,
-0.00000021400,0.00800,
-0.00000021200,0.00,
-0.00000021000,-0.00800,
-0.00000020800,-0.02400,
-0.00000020600,-0.00800,
-0.00000020400,0.00,
-0.00000020200,-0.00800,
-0.00000020000,0.00,
-0.00000019800,-0.03200,
-0.00000019600,-0.02400,
-0.00000019400,0.00,
-0.00000019200,0.00,
-0.00000019000,-0.00800,
-0.00000018800,-0.02400,
-0.00000018600,-0.01600,
-0.00000018400,-0.00800,
-0.00000018200,0.00,
-0.00000018000,0.00,
-0.00000017800,-0.01600,
-0.00000017600,-0.00800,
-0.00000017400,0.00,
-0.00000017200,-0.00800,
-0.00000017000,0.00,
-0.00000016800,-0.01600,
-0.00000016600,-0.00800,
-0.00000016400,0.00,
-0.00000016200,0.00,
-0.00000016000,0.00,
-0.00000015800,-0.02400,
-0.00000015600,-0.00800,
-0.00000015400,0.00,
-0.00000015200,-0.00800,
-0.00000015000,-0.00800,
-0.00000014800,-0.02400,
-0.00000014600,-0.00800,
-0.00000014400,0.00,
-0.00000014200,0.00,
-0.00000014000,-0.00800,
-0.00000013800,-0.01600,
-0.00000013600,-0.00800,
-0.00000013400,0.00,
-0.00000013200,0.00,
-0.00000013000,-0.00800,
-0.00000012800,-0.02400,
-0.00000012600,-0.00800,
-0.00000012400,0.00,
-0.00000012200,-0.00800,
