Source,CH1
Second,Volt
-0.00009799999,0.70400,
-0.00009792000,0.69600,
-0.00009784000,0.69600,
-0.00009776000,0.69600,
-0.00009768000,0.69600,
-0.00009760000,0.69600,
-0.00009752000,0.70400,
-0.00009744000,0.70400,
-0.00009735999,0.70400,
-0.00009728000,0.69600,
-0.00009720000,0.70400,
-0.00009712000,0.69600,
-0.00009704000,0.70400,
-0.00009696000,0.70400,
-0.00009688000,0.70400,
-0.00009680000,0.69600,
-0.00009671999,0.69600,
-0.00009663999,0.70400,
-0.00009656000,0.69600,
-0.00009648000,0.70400,
-0.00009640000,0.70400,
-0.00009632000,0.69600,
-0.00009624000,0.70400,
-0.00009616000,0.70400,
-0.00009608000,0.69600,
-0.00009599999,0.70400,
-0.00009592000,0.69600,
-0.00009584000,0.69600,
-0.00009576000,0.71200,
-0.00009568000,0.70400,
-0.00009560000,0.71200,
-0.00009552000,0.69600,
-0.00009544000,0.69600,
-0.00009536000,0.69600,
-0.00009527999,0.70400,
-0.00009520000,0.70400,
-0.00009512000,0.71200,
-0.00009504000,0.71200,
-0.00009496000,0.70400,
-0.00009488000,0.71200,
-0.00009480000,0.71200,
-0.00009472000,0.70400,
-0.00009463999,0.70400,
-0.00009455999,0.70400,
-0.00009448000,0.69600,
-0.00009440000,0.71200,
-0.00009432000,0.70400,
-0.00009424000,0.70400,
-0.00009416000,0.70400,
-0.00009408000,0.70400,
-0.00009400000,0.69600,
-0.00009391999,0.70400,
-0.00009384000,0.70400,
-0.00009376000,0.70400,
-0.00009368000,0.71200,
-0.00009360000,0.70400,
-0.00009352000,0.69600,
-0.00009344000,0.70400,
-0.00009336000,0.70400,
-0.00009328000,0.70400,
-0.00009319999,0.71200,
-0.00009312000,0.70400,
-0.00009304000,0.70400,
-0.00009296000,0.70400,
-0.00009288000,0.70400,
-0.00009280000,0.69600,
-0.00009272000,0.71200,
-0.00009264000,0.70400,
-0.00009255999,0.70400,
-0.00009248000,0.70400,
-0.00009240000,0.70400,
-0.00009232000,0.70400,
-0.00009224000,0.70400,
-0.00009216000,0.70400,
-0.00009208000,0.69600,
-0.00009200000,0.70400,
-0.00009192000,0.70400,
-0.00009183999,0.70400,
-0.00009176000,0.70400,
-0.00009168000,0.71200,
-0.00009160000,0.70400,
-0.00009152000,0.71200,
-0.00009144000,0.70400,
-0.00009136000,0.70400,
-0.00009128000,0.69600,
-0.00009119999,0.70400,
-0.00009111999,0.70400,
-0.00009104000,0.71200,
-0.00009096000,0.69600,
-0.00009088000,0.71200,
-0.00009080000,0.71200,
-0.00009072000,0.70400,
-0.00009064000,0.70400,
-0.00009056000,0.70400,
-0.00009047999,0.70400,
-0.00009040000,0.72000,
-0.00009032000,0.71200,
-0.00009024000,0.71200,
-0.00009016000,0.69600,
-0.00009008000,0.70400,
-0.00009000000,0.69600,
-0.00008992000,0.70400,
-0.00008984000,0.70400,
-0.00008975999,0.70400,
-0.00008968000,0.69600,
-0.00008960000,0.70400,
-0.00008952000,0.70400,
-0.00008944000,0.69600,
-0.00008936000,0.70400,
-0.00008928000,0.70400,
-0.00008920000,0.70400,
-0.00008911999,0.69600,
-0.00008904000,0.70400,
-0.00008896000,0.71200,
-0.00008888000,0.69600,
-0.00008880000,0.70400,
-0.00008872000,0.70400,
-0.00008864000,0.69600,
-0.00008856000,0.69600,
-0.00008848000,0.69600,
-0.00008839999,0.70400,
-0.00008832000,0.70400,
-0.00008824000,0.69600,
-0.00008816000,0.70400,
-0.00008808000,0.70400,
-0.00008800000,0.70400,
-0.00008792000,0.69600,
-0.00008784000,0.70400,
-0.00008775999,0.70400,
-0.00008767999,0.71200,
-0.00008760000,0.70400,
-0.00008752000,0.70400,
-0.00008744000,0.70400,
-0.00008736000,0.71200,
-0.00008728000,0.70400,
-0.00008720000,0.69600,
-0.00008712000,0.70400,
-0.00008703999,0.70400,
-0.00008696000,0.70400,
-0.00008688000,0.71200,
-0.00008680000,0.70400,
-0.00008672000,0.69600,
-0.00008664000,0.70400,
-0.00008656000,0.69600,
-0.00008648000,0.70400,
-0.00008640000,0.69600,
-0.00008631999,0.69600,
-0.00008624000,0.69600,
-0.00008616000,0.70400,
-0.00008608000,0.70400,
-0.00008600000,0.70400,
-0.00008592000,0.70400,
-0.00008584000,0.70400,
-0.00008576000,0.70400,
-0.00008567999,0.69600,
-0.00008560000,0.70400,
-0.00008552000,0.70400,
-0.00008544000,0.70400,
-0.00008536000,0.69600,
-0.00008528000,0.69600,
-0.00008520000,0.69600,
-0.00008512000,0.69600,
-0.00008504000,0.70400,
-0.00008495999,0.70400,
-0.00008488000,0.71200,
-0.00008480000,0.69600,
-0.00008472000,0.70400,
-0.00008464000,0.69600,
-0.00008456000,0.70400,
-0.00008448000,0.71200,
-0.00008440000,0.70400,
-0.00008431999,0.71200,
-0.00008423999,0.71200,
-0.00008416000,0.71200,
-0.00008408000,0.70400,
-0.00008400000,0.70400,
-0.00008392000,0.69600,
-0.00008384000,0.70400,
-0.00008376000,0.70400,
-0.00008368000,0.70400,
-0.00008359999,0.69600,
-0.00008352000,0.70400,
-0.00008344000,0.70400,
-0.00008336000,0.70400,
-0.00008328000,0.70400,
-0.00008320000,0.70400,
-0.00008312000,0.70400,
-0.00008304000,0.70400,
-0.00008296000,0.70400,
-0.00008287999,0.70400,
-0.00008280000,0.69600,
-0.00008272000,0.70400,
-0.00008264000,0.70400,
-0.00008256000,0.70400,
-0.00008248000,0.69600,
-0.00008240000,0.70400,
-0.00008232000,0.71200,
-0.00008223999,0.71200,
-0.00008216000,0.70400,
-0.00008208000,0.70400,
-0.00008200000,0.69600,
-0.00008192000,0.70400,
-0.00008184000,0.71200,
-0.00008176000,0.69600,
-0.00008168000,0.71200,
-0.00008160000,0.70400,
-0.00008151999,0.70400,
-0.00008144000,0.70400,
-0.00008136000,0.70400,
-0.00008128000,0.70400,
-0.00008120000,0.70400,
-0.00008112000,0.70400,
-0.00008104000,0.70400,
-0.00008096000,0.72000,
-0.00008087999,0.70400,
-0.00008079999,0.70400,
-0.00008072000,0.70400,
-0.00008064000,0.70400,
-0.00008056000,0.69600,
-0.00008048000,0.69600,
-0.00008040000,0.70400,
-0.00008032000,0.71200,
-0.00008024000,0.71200,
-0.00008015999,0.69600,
-0.00008008000,0.71200,
-0.00008000000,0.69600,
-0.00007992000,0.70400,
-0.00007984000,0.69600,
-0.00007976000,0.71200,
-0.00007968000,0.70400,
-0.00007960000,0.70400,
-0.00007952000,0.71200,
-0.00007943999,0.70400,
-0.00007936000,0.70400,
-0.00007928000,0.70400,
-0.00007920000,0.70400,
-0.00007912000,0.70400,
-0.00007904000,0.70400,
-0.00007896000,0.70400,
-0.00007888000,0.70400,
-0.00007879999,0.70400,
-0.00007872000,0.70400,
-0.00007864000,0.69600,
-0.00007856000,0.69600,
-0.00007848000,0.71200,
-0.00007840000,0.70400,
-0.00007832000,0.70400,
-0.00007824000,0.70400,
-0.00007816000,0.70400,
-0.00007807999,0.70400,
-0.00007800000,0.70400,
-0.00007792000,0.70400,
-0.00007784000,0.70400,
-0.00007776000,0.70400,
-0.00007768000,0.69600,
-0.00007760000,0.71200,
-0.00007752000,0.69600,
-0.00007743999,0.70400,
-0.00007735999,0.70400,
-0.00007728000,0.70400,
-0.00007720000,0.69600,
-0.00007712000,0.70400,
-0.00007704000,0.69600,
-0.00007696000,0.70400,
-0.00007688000,0.70400,
-0.00007680000,0.69600,
-0.00007671999,0.69600,
-0.00007664000,0.69600,
-0.00007656000,0.70400,
-0.00007648000,0.71200,
-0.00007640000,0.71200,
-0.00007632000,0.70400,
-0.00007624000,0.70400,
-0.00007616000,0.70400,
-0.00007608000,0.69600,
-0.00007599999,0.69600,
-0.00007592000,0.69600,
-0.00007584000,0.70400,
-0.00007576000,0.71200,
-0.00007568000,0.70400,
-0.00007560000,0.71200,
-0.00007552000,0.70400,
-0.00007544000,0.71200,
-0.00007535999,0.70400,
-0.00007528000,0.70400,
-0.00007520000,0.69600,
-0.00007512000,0.69600,
-0.00007504000,0.70400,
-0.00007496000,0.71200,
-0.00007488000,0.71200,
-0.00007480000,0.69600,
-0.00007472000,0.69600,
-0.00007463999,0.69600,
-0.00007456000,0.70400,
-0.00007448000,0.70400,
-0.00007440000,0.71200,
-0.00007432000,0.69600,
-0.00007424000,0.71200,
-0.00007416000,0.69600,
-0.00007408000,0.69600,
-0.00007399999,0.69600,
-0.00007391999,0.68800,
-0.00007384000,0.69600,
-0.00007376000,0.70400,
-0.00007368000,0.70400,
-0.00007360000,0.70400,
-0.00007352000,0.69600,
-0.00007344000,0.70400,
-0.00007336000,0.69600,
-0.00007327999,0.69600,
