Source,CH1
Second,Volt
-0.00000500000,8.40000,
-0.00000499000,8.40000,
-0.00000498000,8.32000,
-0.00000497000,8.40000,
-0.00000496000,8.40000,
-0.00000495000,8.40000,
-0.00000494000,8.32000,
-0.00000493000,8.32000,
-0.00000492000,8.32000,
-0.00000491000,8.32000,
-0.00000490000,8.32000,
-0.00000489000,8.32000,
-0.00000488000,8.32000,
-0.00000487000,8.40000,
-0.00000486000,8.32000,
-0.00000485000,8.40000,
-0.00000484000,8.32000,
-0.00000483000,8.32000,
-0.00000482000,8.32000,
-0.00000481000,8.32000,
-0.00000480000,8.32000,
-0.00000479000,8.32000,
-0.00000478000,8.32000,
-0.00000477000,8.32000,
-0.00000476000,8.32000,
-0.00000475000,8.40000,
-0.00000474000,8.32000,
-0.00000473000,8.32000,
-0.00000472000,8.32000,
-0.00000471000,8.40000,
-0.00000470000,8.32000,
-0.00000469000,8.40000,
-0.00000468000,8.32000,
-0.00000467000,8.32000,
-0.00000466000,8.32000,
-0.00000465000,8.32000,
-0.00000464000,8.40000,
-0.00000463000,8.32000,
-0.00000462000,8.40000,
-0.00000461000,8.40000,
-0.00000460000,8.32000,
-0.00000459000,8.32000,
-0.00000458000,8.32000,
-0.00000457000,8.40000,
-0.00000456000,8.32000,
-0.00000455000,8.40000,
-0.00000454000,8.32000,
-0.00000453000,8.40000,
-0.00000452000,8.40000,
-0.00000451000,8.32000,
-0.00000450000,8.32000,
-0.00000449000,8.40000,
-0.00000448000,8.32000,
-0.00000447000,8.32000,
-0.00000446000,8.40000,
-0.00000445000,8.32000,
-0.00000444000,8.32000,
-0.00000443000,8.32000,
-0.00000442000,8.40000,
-0.00000441000,8.32000,
-0.00000440000,8.32000,
-0.00000439000,8.32000,
-0.00000438000,8.40000,
-0.00000437000,8.40000,
-0.00000436000,8.40000,
-0.00000435000,8.40000,
-0.00000434000,8.32000,
-0.00000433000,8.40000,
-0.00000432000,8.32000,
-0.00000431000,8.32000,
-0.00000430000,8.32000,
-0.00000429000,8.40000,
-0.00000428000,8.32000,
-0.00000427000,8.32000,
-0.00000426000,8.40000,
-0.00000425000,8.32000,
-0.00000424000,8.32000,
-0.00000423000,8.40000,
-0.00000422000,8.32000,
-0.00000421000,8.40000,
-0.00000420000,8.32000,
-0.00000419000,8.32000,
-0.00000418000,8.32000,
-0.00000417000,8.32000,
-0.00000416000,8.32000,
-0.00000415000,8.40000,
-0.00000414000,8.32000,
-0.00000413000,8.32000,
-0.00000412000,8.32000,
-0.00000411000,8.32000,
-0.00000410000,8.40000,
-0.00000409000,8.40000,
-0.00000408000,8.32000,
-0.00000407000,8.32000,
-0.00000406000,8.32000,
-0.00000405000,8.40000,
-0.00000404000,8.32000,
-0.00000403000,8.32000,
-0.00000402000,8.40000,
-0.00000401000,8.32000,
-0.00000400000,8.40000,
-0.00000399000,8.32000,
-0.00000398000,8.40000,
-0.00000397000,8.32000,
-0.00000396000,8.32000,
-0.00000395000,8.32000,
-0.00000394000,8.32000,
-0.00000393000,8.32000,
-0.00000392000,8.40000,
-0.00000391000,8.32000,
-0.00000390000,8.40000,
-0.00000389000,8.40000,
-0.00000388000,8.32000,
-0.00000387000,8.40000,
-0.00000386000,8.40000,
-0.00000385000,8.32000,
-0.00000384000,8.32000,
-0.00000383000,8.32000,
-0.00000382000,8.32000,
-0.00000381000,8.32000,
-0.00000380000,8.32000,
-0.00000379000,8.32000,
-0.00000378000,8.32000,
-0.00000377000,8.32000,
-0.00000376000,8.40000,
-0.00000375000,8.32000,
-0.00000374000,8.32000,
-0.00000373000,8.40000,
-0.00000372000,8.40000,
-0.00000371000,8.32000,
-0.00000370000,8.32000,
-0.00000369000,8.32000,
-0.00000368000,8.40000,
-0.00000367000,8.32000,
-0.00000366000,8.40000,
-0.00000365000,8.32000,
-0.00000364000,8.32000,
-0.00000363000,8.40000,
-0.00000362000,8.32000,
-0.00000361000,8.40000,
-0.00000360000,8.40000,
-0.00000359000,8.32000,
-0.00000358000,8.32000,
-0.00000357000,8.32000,
-0.00000356000,8.32000,
-0.00000355000,8.32000,
-0.00000354000,8.40000,
-0.00000353000,8.32000,
-0.00000352000,8.40000,
-0.00000351000,8.32000,
-0.00000350000,8.40000,
-0.00000349000,8.32000,
-0.00000348000,8.32000,
