Source,CH1
Second,Volt
 0.00000017500,-5.00000,
 0.00000017600,-5.00000,
 0.00000017700,-4.80000,
 0.00000017800,-4.80000,
 0.00000017900,-4.80000,
 0.00000018000,-4.60000,
 0.00000018100,-5.00000,
 0.00000018200,-4.80000,
 0.00000018300,-5.00000,
 0.00000018400,-4.80000,
 0.00000018500,-5.00000,
 0.00000018600,-4.80000,
 0.00000018700,-4.80000,
 0.00000018800,-5.00000,
 0.00000018900,-4.80000,
 0.00000019000,-4.80000,
 0.00000019100,-4.80000,
 0.00000019200,-5.00000,
 0.00000019300,-4.80000,
 0.00000019400,-4.80000,
 0.00000019500,-5.00000,
 0.00000019600,-5.00000,
 0.00000019700,-5.00000,
 0.00000019800,-5.00000,
 0.00000019900,-5.00000,
 0.00000020000,-4.80000,
 0.00000020100,-5.00000,
 0.00000020200,-4.80000,
 0.00000020300,-5.00000,
 0.00000020400,-4.80000,
 0.00000020500,-5.00000,
 0.00000020600,-5.20000,
 0.00000020700,-5.00000,
 0.00000020800,-5.00000,
 0.00000020900,-5.00000,
 0.00000021000,-4.80000,
 0.00000021100,-5.00000,
 0.00000021200,-5.00000,
 0.00000021300,-4.80000,
 0.00000021400,-4.80000,
 0.00000021500,-4.80000,
 0.00000021600,-4.80000,
 0.00000021700,-4.80000,
 0.00000021800,-4.80000,
 0.00000021900,-4.80000,
 0.00000022000,-4.60000,
 0.00000022100,-4.80000,
 0.00000022200,-4.60000,
 0.00000022300,-4.80000,
 0.00000022400,-4.60000,
 0.00000022500,-4.80000,
 0.00000022600,-4.80000,
 0.00000022700,-4.80000,
 0.00000022800,-4.60000,
 0.00000022900,-4.80000,
 0.00000023000,-4.60000,
 0.00000023100,-4.80000,
 0.00000023200,-4.60000,
 0.00000023300,-4.80000,
 0.00000023400,-4.40000,
 0.00000023500,-4.60000,
 0.00000023600,-4.60000,
 0.00000023700,-4.60000,
 0.00000023800,-4.40000,
 0.00000023900,-4.60000,
 0.00000024000,-4.20000,
 0.00000024100,-4.40000,
 0.00000024200,-4.20000,
 0.00000024300,-4.40000,
 0.00000024400,-4.20000,
 0.00000024500,-4.40000,
 0.00000024600,-4.40000,
 0.00000024700,-4.20000,
 0.00000024800,-4.20000,
 0.00000024900,-4.20000,
 0.00000025000,-4.00000,
 0.00000025100,-4.20000,
 0.00000025200,-4.20000,
 0.00000025300,-4.20000,
 0.00000025400,-4.00000,
 0.00000025500,-4.00000,
 0.00000025600,-4.00000,
 0.00000025700,-4.00000,
 0.00000025800,-3.80000,
 0.00000025900,-4.00000,
 0.00000026000,-3.80000,
 0.00000026100,-4.00000,
 0.00000026200,-3.80000,
 0.00000026300,-3.80000,
 0.00000026400,-3.60000,
 0.00000026500,-4.00000,
 0.00000026600,-3.80000,
 0.00000026700,-3.80000,
 0.00000026800,-3.60000,
 0.00000026900,-3.80000,
 0.00000027000,-3.60000,
 0.00000027100,-3.80000,
 0.00000027200,-3.40000,
 0.00000027300,-3.60000,
 0.00000027400,-3.60000,
 0.00000027500,-3.60000,
 0.00000027600,-3.60000,
 0.00000027700,-3.60000,
 0.00000027800,-3.40000,
 0.00000027900,-3.60000,
 0.00000028000,-3.40000,
 0.00000028100,-3.60000,
 0.00000028200,-3.40000,
 0.00000028300,-3.60000,
 0.00000028400,-3.20000,
 0.00000028500,-3.40000,
