x	CH1	Source	CH1_
-5.00E-07	-0.016	-3.77E-05	-0.02
-4.98E-07	-0.024	-3.77E-05	0
-4.96E-07	-0.016	-3.77E-05	-0.02
-4.94E-07	-0.008	-3.77E-05	-0.02
-4.92E-07	-0.024	-3.77E-05	-0.02
-4.90E-07	-0.016	-3.76E-05	-0.02
-4.88E-07	-0.024	-3.76E-05	0
-4.86E-07	-0.024	-3.76E-05	-0.02
-4.84E-07	-0.008	-3.76E-05	0
-4.82E-07	-0.024	-3.76E-05	-0.02
-4.80E-07	-0.016	-3.76E-05	0
-4.78E-07	-0.024	-3.76E-05	0
-4.76E-07	-0.016	-3.76E-05	0
-4.74E-07	-0.008	-3.76E-05	0
-4.72E-07	-0.024	-3.76E-05	-0.02
-4.70E-07	-0.016	-3.75E-05	-0.02
-4.68E-07	-0.024	-3.75E-05	-0.02
-4.66E-07	-0.016	-3.75E-05	-0.02
-4.64E-07	-0.008	-3.75E-05	-0.02
-4.62E-07	-0.024	-3.75E-05	-0.02
-4.60E-07	-0.016	-3.75E-05	-0.02
-4.58E-07	-0.024	-3.75E-05	-0.02
-4.56E-07	-0.008	-3.75E-05	-0.02
-4.54E-07	-0.008	-3.75E-05	0
-4.52E-07	-0.024	-3.75E-05	-0.02
-4.50E-07	-0.016	-3.74E-05	0
-4.48E-07	-0.024	-3.74E-05	-0.02
-4.46E-07	-0.008	-3.74E-05	-0.02
-4.44E-07	-0.016	-3.74E-05	-0.02
-4.42E-07	-0.024	-3.74E-05	0
-4.40E-07	-0.016	-3.74E-05	-0.02
-4.38E-07	-0.024	-3.74E-05	-0.02
-4.36E-07	-0.016	-3.74E-05	-0.02
-4.34E-07	-0.008	-3.74E-05	0
-4.32E-07	-0.024	-3.74E-05	0
-4.30E-07	-0.016	-3.73E-05	-0.02
-4.28E-07	-0.024	-3.73E-05	-0.02
-4.26E-07	-0.016	-3.73E-05	-0.02
-4.24E-07	-0.008	-3.73E-05	-0.02
-4.22E-07	-0.024	-3.73E-05	0
-4.20E-07	-0.016	-3.73E-05	0
-4.18E-07	-0.024	-3.73E-05	-0.02
-4.16E-07	-0.016	-3.73E-05	-0.02
-4.14E-07	-0.008	-3.73E-05	-0.02
-4.12E-07	-0.024	-3.73E-05	0
-4.10E-07	-0.016	-3.72E-05	-0.02
-4.08E-07	-0.024	-3.72E-05	-0.02
-4.06E-07	-0.024	-3.72E-05	-0.02
-4.04E-07	-0.008	-3.72E-05	-0.02
-4.02E-07	-0.024	-3.72E-05	-0.02
-4.00E-07	-0.016	-3.72E-05	-0.02
-3.98E-07	-0.024	-3.72E-05	-0.02
-3.96E-07	-0.024	-3.72E-05	-0.02
-3.94E-07	-0.008	-3.72E-05	0
-3.92E-07	-0.016	-3.72E-05	-0.02
-3.90E-07	-0.008	-3.71E-05	-0.02
-3.88E-07	-0.024	-3.71E-05	-0.02
-3.86E-07	-0.024	-3.71E-05	-0.02
-3.84E-07	-0.008	-3.71E-05	0
-3.82E-07	-0.016	-3.71E-05	-0.02
-3.80E-07	-0.016	-3.71E-05	-0.02
-3.78E-07	-0.024	-3.71E-05	0
-3.76E-07	-0.024	-3.71E-05	0
-3.74E-07	-0.016	-3.71E-05	0
-3.72E-07	-0.016	-3.71E-05	-0.02
-3.70E-07	-0.008	-3.70E-05	-0.02
-3.68E-07	-0.024	-3.70E-05	-0.02
-3.66E-07	-0.024	-3.70E-05	-0.02
-3.64E-07	-0.008	-3.70E-05	-0.02
-3.62E-07	-0.016	-3.70E-05	-0.02
-3.60E-07	-0.016	-3.70E-05	0
-3.58E-07	-0.024	-3.70E-05	-0.02
-3.56E-07	-0.024	-3.70E-05	0
-3.54E-07	-0.016	-3.70E-05	-0.02
-3.52E-07	-0.016	-3.70E-05	-0.02
-3.50E-07	-0.016	-3.69E-05	-0.02
-3.48E-07	-0.024	-3.69E-05	0
-3.46E-07	-0.024	-3.69E-05	-0.02
-3.44E-07	-0.008	-3.69E-05	-0.02
-3.42E-07	-0.016	-3.69E-05	-0.02
-3.40E-07	-0.016	-3.69E-05	-0.02
-3.38E-07	-0.024	-3.69E-05	-0.02
-3.36E-07	-0.024	-3.69E-05	0
-3.34E-07	-0.008	-3.69E-05	-0.02
-3.32E-07	-0.008	-3.69E-05	-0.02
-3.30E-07	-0.008	-3.68E-05	-0.02
-3.28E-07	-0.024	-3.68E-05	-0.02
-3.26E-07	-0.016	-3.68E-05	-0.02
-3.24E-07	-0.008	-3.68E-05	-0.02
-3.22E-07	-0.016	-3.68E-05	-0.02
-3.20E-07	-0.016	-3.68E-05	-0.02
-3.18E-07	-0.024	-3.68E-05	-0.02
-3.16E-07	-0.024	-3.68E-05	-0.02
-3.14E-07	-0.008	-3.68E-05	-0.02
-3.12E-07	-0.016	-3.68E-05	-0.02
-3.10E-07	-0.016	-3.67E-05	-0.02
-3.08E-07	-0.024	-3.67E-05	-0.02
-3.06E-07	-0.016	-3.67E-05	-0.02
-3.04E-07	-0.008	-3.67E-05	-0.02
-3.02E-07	-0.016	-3.67E-05	-0.02
-3.00E-07	-0.016	-3.67E-05	0
-2.98E-07	-0.024	-3.67E-05	-0.02
-2.96E-07	-0.016	-3.67E-05	-0.02
-2.94E-07	0	-3.67E-05	-0.02
-2.92E-07	-0.016	-3.67E-05	0
-2.90E-07	-0.016	-3.66E-05	-0.02
-2.88E-07	-0.032	-3.66E-05	0
-2.86E-07	-0.016	-3.66E-05	-0.02
-2.84E-07	-0.008	-3.66E-05	0
-2.82E-07	-0.024	-3.66E-05	-0.02
-2.80E-07	-0.016	-3.66E-05	-0.02
-2.78E-07	-0.024	-3.66E-05	0
-2.76E-07	-0.016	-3.66E-05	-0.02
-2.74E-07	-0.008	-3.66E-05	-0.02
-2.72E-07	-0.016	-3.66E-05	-0.02
-2.70E-07	-0.016	-3.65E-05	0
-2.68E-07	-0.024	-3.65E-05	0
-2.66E-07	-0.016	-3.65E-05	-0.02
-2.64E-07	-0.008	-3.65E-05	0
-2.62E-07	-0.016	-3.65E-05	-0.02
-2.60E-07	-0.016	-3.65E-05	0
-2.58E-07	-0.024	-3.65E-05	-0.02
-2.56E-07	-0.016	-3.65E-05	-0.02
-2.54E-07	-0.008	-3.65E-05	-0.02
-2.52E-07	-0.016	-3.65E-05	-0.02
-2.50E-07	-0.016	-3.64E-05	-0.02
-2.48E-07	-0.024	-3.64E-05	-0.02
-2.46E-07	-0.016	-3.64E-05	-0.02
-2.44E-07	-0.008	-3.64E-05	-0.02
-2.42E-07	-0.016	-3.64E-05	0
-2.40E-07	-0.016	-3.64E-05	-0.02
-2.38E-07	-0.024	-3.64E-05	-0.02
-2.36E-07	-0.016	-3.64E-05	-0.02
-2.34E-07	-0.008	-3.64E-05	-0.02
-2.32E-07	-0.016	-3.64E-05	-0.02
-2.30E-07	-0.016	-3.63E-05	-0.02
-2.28E-07	-0.024	-3.63E-05	-0.02
-2.26E-07	-0.024	-3.63E-05	-0.02
-2.24E-07	-0.008	-3.63E-05	-0.02
-2.22E-07	-0.016	-3.63E-05	-0.02
-2.20E-07	-0.016	-3.63E-05	-0.02
-2.18E-07	-0.024	-3.63E-05	-0.02
-2.16E-07	-0.016	-3.63E-05	0
-2.14E-07	-0.008	-3.63E-05	-0.02
-2.12E-07	-0.016	-3.63E-05	-0.02
-2.10E-07	-0.016	-3.62E-05	0
-2.08E-07	-0.024	-3.62E-05	0
-2.06E-07	-0.016	-3.62E-05	0
-2.04E-07	-0.008	-3.62E-05	-0.02
-2.02E-07	-0.016	-3.62E-05	-0.02
-2.00E-07	-0.016	-3.62E-05	-0.02
-1.98E-07	-0.024	-3.62E-05	-0.02
-1.96E-07	-0.024	-3.62E-05	-0.02
-1.94E-07	-0.008	-3.62E-05	-0.02
-1.92E-07	-0.016	-3.62E-05	-0.02
-1.90E-07	-0.016	-3.61E-05	0
-1.88E-07	-0.024	-3.61E-05	-0.02
-1.86E-07	-0.024	-3.61E-05	0
-1.84E-07	-0.016	-3.61E-05	-0.02
-1.82E-07	-0.016	-3.61E-05	-0.02
-1.80E-07	-0.016	-3.61E-05	0
-1.78E-07	-0.024	-3.61E-05	0
-1.76E-07	-0.016	-3.61E-05	-0.02
-1.74E-07	-0.016	-3.61E-05	-0.02
-1.72E-07	-0.024	-3.61E-05	0
-1.70E-07	-0.016	-3.60E-05	0
-1.68E-07	-0.024	-3.60E-05	0
-1.66E-07	-0.016	-3.60E-05	-0.02
-1.64E-07	-0.016	-3.60E-05	-0.02
-1.62E-07	-0.024	-3.60E-05	-0.02
-1.60E-07	-0.016	-3.60E-05	0
-1.58E-07	-0.024	-3.60E-05	-0.02
-1.56E-07	-0.016	-3.60E-05	0
-1.54E-07	-0.016	-3.60E-05	-0.02
-1.52E-07	-0.016	-3.60E-05	-0.02
-1.50E-07	-0.008	-3.59E-05	0
-1.48E-07	-0.024	-3.59E-05	0
-1.46E-07	-0.016	-3.59E-05	-0.02
-1.44E-07	-0.008	-3.59E-05	-0.02
-1.42E-07	-0.024	-3.59E-05	-0.02
-1.40E-07	-0.016	-3.59E-05	-0.02
-1.38E-07	-0.024	-3.59E-05	-0.02
-1.36E-07	-0.016	-3.59E-05	0
-1.34E-07	-0.008	-3.59E-05	-0.02
-1.32E-07	-0.024	-3.59E-05	-0.02
-1.30E-07	-0.016	-3.58E-05	-0.02
-1.28E-07	-0.024	-3.58E-05	0
-1.26E-07	-0.016	-3.58E-05	-0.02
-1.24E-07	-0.008	-3.58E-05	-0.02
-1.22E-07	-0.016	-3.58E-05	-0.02
-1.20E-07	-0.016	-3.58E-05	0
-1.18E-07	-0.024	-3.58E-05	-0.02
-1.16E-07	-0.016	-3.58E-05	-0.02
-1.14E-07	-0.008	-3.58E-05	-0.02
-1.12E-07	-0.016	-3.58E-05	-0.02
-1.10E-07	-0.016	-3.57E-05	0
-1.08E-07	-0.024	-3.57E-05	-0.02
-1.06E-07	-0.024	-3.57E-05	-0.02
-1.04E-07	-0.008	-3.57E-05	-0.02
-1.02E-07	-0.008	-3.57E-05	-0.02
-1.00E-07	-0.016	-3.57E-05	0
-9.80E-08	-0.024	-3.57E-05	-0.02
-9.60E-08	-0.024	-3.57E-05	-0.02
-9.40E-08	-0.008	-3.57E-05	-0.02
-9.20E-08	-0.016	-3.57E-05	0
-9.00E-08	-0.016	-3.56E-05	-0.02
-8.80E-08	-0.024	-3.56E-05	-0.02
-8.60E-08	-0.024	-3.56E-05	-0.02
-8.40E-08	-0.016	-3.56E-05	0
-8.20E-08	-0.016	-3.56E-05	-0.02
-8.00E-08	-0.016	-3.56E-05	-0.02
