Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usd=0.00E+0V,Usd=500.00E-3V,Usd=1.00E+0V,Usd=1.50E+0V,Usd=2.00E+0V,Usd=2.50E+0V,Usd=3.00E+0V
5.05051E-2,8.53539E-12,2.94447E-11,2.66671E-11,2.74420E-11,2.89559E-11,2.90632E-11,2.80380E-11
3.03030E-2,8.78572E-12,2.59638E-11,2.33769E-11,2.42710E-11,2.57373E-11,2.64406E-11,2.56538E-11
1.01010E-2,8.88109E-12,2.26736E-11,2.06351E-11,2.20180E-11,2.31624E-11,2.41041E-11,2.31862E-11
-1.01010E-2,9.35793E-12,2.07067E-11,1.85370E-11,2.00152E-11,2.14100E-11,2.16961E-11,2.18034E-11
-3.03030E-2,1.65105E-11,1.85609E-11,1.68204E-11,1.84655E-11,1.95146E-11,2.03609E-11,2.04682E-11
-5.05051E-2,-2.49147E-11,1.70231E-11,1.53303E-11,1.71423E-11,1.83225E-11,1.88589E-11,1.90496E-11
-7.07071E-2,7.55787E-12,1.55687E-11,1.38640E-11,1.62005E-11,1.73211E-11,1.79410E-11,1.81556E-11
-9.09091E-2,7.79629E-12,1.44958E-11,1.33634E-11,1.54972E-11,1.62840E-11,1.68681E-11,1.73926E-11
-1.11111E-1,8.30889E-12,1.38760E-11,1.25527E-11,1.48535E-11,1.57356E-11,1.61052E-11,1.69396E-11
-1.31313E-1,8.40425E-12,1.28150E-11,1.18732E-11,1.40667E-11,1.51515E-11,1.56641E-11,1.65462E-11
-1.51515E-1,8.90493E-12,1.22190E-11,1.09792E-11,1.39236E-11,1.45793E-11,1.52707E-11,1.63317E-11
-1.71717E-1,8.73804E-12,1.20044E-11,1.06573E-11,1.33991E-11,1.42574E-11,1.47462E-11,1.56403E-11
-1.91919E-1,8.84533E-12,1.11938E-11,1.07169E-11,1.32442E-11,1.37806E-11,1.47581E-11,1.55807E-11
-2.12121E-1,8.84533E-12,1.08838E-11,1.02401E-11,1.28865E-11,1.35779E-11,1.42932E-11,1.50681E-11
-2.32323E-1,8.97646E-12,1.05858E-11,9.87053E-12,1.28269E-11,1.35183E-11,1.41025E-11,1.46627E-11
-2.52525E-1,8.77380E-12,1.00613E-11,9.78708E-12,1.24931E-11,1.30057E-11,1.39475E-11,1.45197E-11
-2.72727E-1,8.86917E-12,1.00613E-11,9.65595E-12,1.24931E-11,1.30653E-11,1.38283E-11,1.47939E-11
-2.92929E-1,8.95262E-12,9.72748E-12,9.41753E-12,1.20163E-11,1.28627E-11,1.36614E-11,1.44839E-11
-3.13131E-1,9.00030E-12,9.62019E-12,9.57251E-12,1.16706E-11,1.27316E-11,1.35779E-11,1.42217E-11
-3.33333E-1,8.82149E-12,9.50098E-12,9.56058E-12,1.18732E-11,1.24693E-11,1.36495E-11,1.41859E-11
-3.53535E-1,8.98838E-12,9.36985E-12,9.53674E-12,1.17421E-11,1.27196E-11,1.32918E-11,1.39236E-11
-3.73737E-1,9.11951E-12,9.15527E-12,9.32217E-12,1.16348E-11,1.26839E-11,1.34706E-11,1.39475E-11
-3.93939E-1,8.84533E-12,9.21488E-12,9.47714E-12,1.18494E-11,1.25170E-11,1.32918E-11,1.41025E-11
