Matavo anoniminis tinginys,,,,,,,
,,"4.47, 4.47, 4.54",,,,,
Usd,Isd,,,,,,
V,A,,,,,,
 ,Usg=4.40E+0V,Usg=4.47E+0V,Usg=4.54E+0V,Usg=4.62E+0V,Usg=4.69E+0V,Usg=4.76E+0V,Usg=4.83E+0V
0.808081,0.00135806,0.00235793,0.00404549,0.0067901,0.0111318,0.0176887,0.026962
0.820707,0.00136021,0.00236181,0.00405273,0.00680299,0.0111531,0.0177272,0.0270345
0.833333,0.00136229,0.00236574,0.00405941,0.00681452,0.0111731,0.0177652,0.0271011
0.84596,0.00136434,0.00236942,0.00406624,0.00682652,0.011194,0.0178025,0.0271688
0.858586,0.00136651,0.00237316,0.0040732,0.00683816,0.0112152,0.0178399,0.0272316
0.871212,0.00136859,0.00237692,0.00407954,0.00685026,0.0112361,0.0178734,0.0272982
0.883838,0.00137053,0.00238059,0.00408575,0.0068619,0.0112576,0.0179075,0.0273591
0.896465,0.00137262,0.00238415,0.00409216,0.00687326,0.0112782,0.0179417,0.0274212
0.909091,0.00137467,0.00238761,0.00409896,0.00688543,0.0112985,0.0179765,0.0274833
0.921717,0.0013765,0.00239137,0.00410555,0.00689648,0.0113177,0.0180093,0.0275398
0.934343,0.00137845,0.00239444,0.0041118,0.00690746,0.0113358,0.0180407,0.0275987
0.94697,0.00138042,0.00239809,0.00411774,0.00691828,0.0113545,0.018075,0.0276558
0.959596,0.00138228,0.00240172,0.00412401,0.00692888,0.0113731,0.0181078,0.0277129
0.972222,0.00138397,0.00240525,0.00412984,0.00693928,0.0113938,0.0181395,0.0277661
0.984848,0.00138587,0.00240805,0.00413605,0.00694976,0.0114108,0.018171,0.0278192
0.997475,0.00138776,0.00241131,0.00414214,0.00695991,0.0114282,0.0182019,0.0278717
1.0101,0.0013894,0.00241454,0.00414835,0.00696933,0.0114472,0.0182316,0.0279212
1.02273,0.00139129,0.00241808,0.00415431,0.00697968,0.0114648,0.0182637,0.0279743
1.03535,0.00139292,0.00242145,0.00415957,0.00698858,0.0114815,0.018291,0.0280236
1.04798,0.00139467,0.0024246,0.00416503,0.00699853,0.0114979,0.0183208,0.0280727
1.06061,0.0013964,0.00242762,0.00417084,0.00700827,0.0115143,0.0183494,0.0281198
1.07323,0.00139811,0.00243076,0.00417604,0.00701791,0.0115315,0.0183788,0.0281682
1.08586,0.00139981,0.00243361,0.00418165,0.00702638,0.0115484,0.0184064,0.0282154
1.09848,0.00140159,0.00243644,0.00418647,0.0070363,0.0115639,0.0184336,0.0282591
1.11111,0.00140321,0.0024396,0.00419144,0.0070451,0.0115797,0.0184598,0.0283033
1.12374,0.00140464,0.00244262,0.00419729,0.00705389,0.0115956,0.018488,0.0283456
1.13636,0.00140634,0.0024458,0.00420224,0.00706371,0.0116108,0.0185135,0.0283901
1.14899,0.00140808,0.00244868,0.0042073,0.00707289,0.0116266,0.0185407,0.028435
1.16162,0.00140959,0.00245164,0.0042117,0.00708167,0.0116417,0.0185651,0.0284763
1.17424,0.00141115,0.00245451,0.00421689,0.00709048,0.0116554,0.0185915,0.0285192
1.18687,0.00141274,0.00245716,0.00422251,0.00709935,0.0116697,0.0186164,0.028561
1.19949,0.00141427,0.00245991,0.0042273,0.00710745,0.0116835,0.0186418,0.0286027
1.21212,0.00141568,0.0024629,0.00423163,0.00711679,0.0116981,0.0186645,0.0286463
1.22475,0.00141711,0.00246563,0.00423698,0.00712515,0.0117128,0.01869,0.0286861
1.23737,0.00141874,0.00246826,0.00424167,0.00713349,0.0117265,0.0187143,0.0287278
1.25,0.0014202,0.00247083,0.00424632,0.00714177,0.0117396,0.0187387,0.0287679
