U, (V)	I, (uA)
0.036	0
0.514	1.12
0.9	2.18
1.345	3
2.48	4.02
4.37	5
6.77	6.04
8.2	7.06
9.35	8.06
9.87	9.26
9.89	17.27
9.9	56.21
9.91	126.55
9.93	207.21
9.95	287.43
9.96	324.86
9.98	450.7
10.03	1294.7
10.06	2042.1
