U_D	I_D	S(U)	1
10.00000000	0.00000002	0.00116123599871	
9.59000000	0.00000002	0.00122111571529	
9.18000000	0.00000002	0.00128416020680	
8.78000000	0.00000001	0.00135037857181	
8.37000000	0.00000001	0.00142009672328	
7.96000000	0.00000001	0.00149332472294	
7.55000000	0.00000001	0.00157032876111	
7.14000000	0.00000001	0.00165140263233	
6.73000000	0.00000001	0.00173655803717	
6.33000000	0.00000000	0.00182610452317	
5.92000000	0.00000000	0.00192038373820	
5.51000000	0.00000000	0.00201940928865	
5.10000000	0.00000000	0.00212366855758	
4.69000000	0.00000000	0.00223317659168	
4.29000000	0.00000000	0.00234833146247	
3.88000000	0.00000000	0.00246957252184	
3.47000000	0.00000000	0.00259691726732	
3.06000000	0.00000000	0.00273099246310	
2.65000000	0.00000000	0.00287181745894	
2.24000000	0.00000000	0.00301990416630	
1.84000000	0.00000000	0.00317581758235	
1.43000000	0.00000000	0.00333958020852	
1.02000000	0.00000000	0.00351178733663	
0.61200000	0.00000000	0.00369309599079	
0.20400000	0.00000000	0.00388353233749	
-0.20400000	-0.00000000	0.00408403366460	
-0.61200000	-0.00000000	0.00429462890848	
-1.02000000	-0.00000000	0.00451608360171	
-1.43000000	-0.00000000	0.00474924266331	
-1.84000000	-0.00000000	0.00499413974278	
-2.24000000	-0.00000000	0.00525198017236	
-2.65000000	-0.00000000	0.00552280116359	
-3.06000000	-0.00000000	0.00580758717504	
-3.47000000	-0.00000000	0.00610742475452	
-3.88000000	-0.00000000	0.00642235717459	
-4.29000000	-0.00000000	0.00675352924283	
-4.69000000	-0.00000000	0.00710220448439	
-5.10000000	-0.00000000	0.00746843322007	
-5.51000000	-0.00000000	0.00785401795117	
-5.92000000	-0.00000000	0.00825901432527	
-6.33000000	-0.00000000	0.00868489454049	
-6.73000000	-0.00000000	0.00913328346322	
-7.14000000	-0.00000000	0.00960424580494	
-7.55000000	-0.00000000	0.01010009954387	
-7.96000000	-0.00000000	0.01062091624161	
-8.37000000	-0.00000000	0.01116858911353	
-8.78000000	-0.00000000	0.01174520770316	
-9.18000000	-0.00000000	0.01235085522809	
-9.59000000	-0.00000000	0.01298773327134	
-10.00000000	-0.00000000	0.01365827172210	
4.41919000	0.00165149	0.01436256735248	
4.42758000	0.00176182	0.01510408655836	
4.43596000	0.00188397	0.01588293635578	
4.44434000	0.00200934	0.01670194793357	
4.45273000	0.00214241	0.01756424607737	
4.46111000	0.00228367	0.01846995523405	
4.46949000	0.00243992	0.01942236773758	
4.47788000	0.00260011	0.02042511733990	
4.48626000	0.00277000	0.02147834875784	
4.49465000	0.00294973	0.02258724577628	
4.50303000	0.00314912	0.02375196843126	
4.51141000	0.00335284	0.02497675059400	
4.51980000	0.00356889	0.02626626519200	
4.52818000	0.00379741	0.02762069832801	
4.53657000	0.00404987	0.02904671623883	
4.54495000	0.00430718	0.03054452472735	
4.55333000	0.00457934	0.03211956846166	
4.56172000	0.00487984	0.03377785672686	
4.57010000	0.00518613	0.03551962884711	
4.57848000	0.00550867	0.03735121632016	
4.58687000	0.00585097	0.03927960722580	
4.59525000	0.00622671	0.04130507986941	
4.60364000	0.00660936	0.04343760320398	
4.61202000	0.00701347	0.04567748499526	
4.62040000	0.00743935	0.04803286741431	
4.62879000	0.00790734	0.05051273698268	
4.63717000	0.00838157	0.05311745159513	
4.64556000	0.00888119	0.05585983111255	
4.65394000	0.00940461	0.05874027131514	
4.66232000	0.00998121	0.06176924286119	
4.67071000	0.01056190	0.06495830222571	
4.67909000	0.01117580	0.06830790965374	
4.68747000	0.01184450	0.07183024126848	
4.69586000	0.01252200	0.07553873586810	
4.70424000	0.01323060	0.07943392866253	
4.71263000	0.01397470	0.08353499097652	
4.72101000	0.01478440	0.08784251467538	
4.72939000	0.01560040	0.09237215799382	
4.73778000	0.01645980	0.09714120293959	
4.74616000	0.01735240	0.10215033778125	
4.75455000	0.01832220	0.10742421643349	
4.76293000	0.01929850	0.11296360002245	
4.77131000	0.02031780	0.11878862470394	
4.77970000	0.02142370	0.12492151477128	
4.78808000	0.02253010	0.13136315532316	
4.79646000	0.02368540	0.13813696230031	
4.80485000	0.02488050	0.14526877989762	
4.81323000	0.02617380	0.15275963737902	
4.82162000	0.02746280	0.16064640317926	
4.83000000	0.02880640	0.16893021551638	
