x	6th_plot_fit	derrived_plot
3.82	1.91105E-05	0.000154402
3.83	2.07188E-05	0.000167419
3.83	2.07188E-05	0.000167419
3.84	2.24626E-05	0.000181533
3.84	2.24626E-05	0.000181533
3.85	2.43534E-05	0.000196838
3.85	2.43534E-05	0.000196838
3.86	2.64036E-05	0.000213432
3.86	2.64036E-05	0.000213432
3.87	2.86267E-05	0.000231425
3.87	2.86267E-05	0.000231425
3.88	3.10372E-05	0.000250935
3.88	3.10372E-05	0.000250935
3.89	3.36509E-05	0.00027209
3.89	3.36509E-05	0.00027209
3.9	3.64849E-05	0.000295029
3.9	3.64849E-05	0.000295029
3.91	3.95579E-05	0.000319901
3.91	3.95579E-05	0.000319901
3.92	0.00004289	0.00034687
3.92	0.00004289	0.00034687
3.93	4.65029E-05	0.000376113
3.93	4.65029E-05	0.000376113
3.94	5.04204E-05	0.000407821
3.94	5.04204E-05	0.000407821
3.95	5.46682E-05	0.000442202
3.95	5.46682E-05	0.000442202
3.96	5.92741E-05	0.000479482
3.96	5.92741E-05	0.000479482
3.97	6.42683E-05	0.000519904
3.97	6.42683E-05	0.000519904
3.98	6.96836E-05	0.000563735
3.98	6.96836E-05	0.000563735
3.99	7.55553E-05	0.00061126
3.99	7.55553E-05	0.00061126
4	8.19221E-05	0.000662792
