x	Usd=5 V	Usd=4.12 V	Usd=3.25 V	Usd=2.37 V	Usd=1.5 V
3.41	6.8e-07	6.96e-07	7.08e-07	7.2e-07	7.27e-07
3.41	7.06e-07	7.22e-07	7.35e-07	7.47e-07	7.55e-07
3.42	7.33e-07	7.51e-07	7.64e-07	7.77e-07	7.85e-07
3.42	7.63e-07	7.81e-07	7.95e-07	8.08e-07	8.16e-07
3.43	7.93e-07	8.12e-07	8.26e-07	8.4e-07	8.49e-07
3.43	8.23e-07	8.43e-07	8.58e-07	8.72e-07	8.81e-07
3.44	8.55e-07	8.76e-07	8.92e-07	9.07e-07	9.17e-07
3.44	8.9e-07	9.11e-07	9.28e-07	9.43e-07	9.53e-07
3.45	9.25e-07	9.48e-07	9.65e-07	9.81e-07	9.92e-07
3.45	9.6e-07	9.83e-07	1e-06	1.02e-06	1.03e-06
3.46	9.98e-07	1.02e-06	1.04e-06	1.06e-06	1.07e-06
3.46	1.04e-06	1.06e-06	1.08e-06	1.1e-06	1.11e-06
3.47	1.08e-06	1.11e-06	1.13e-06	1.15e-06	1.16e-06
3.47	1.12e-06	1.15e-06	1.17e-06	1.19e-06	1.2e-06
3.48	1.16e-06	1.19e-06	1.22e-06	1.24e-06	1.25e-06
3.48	1.21e-06	1.24e-06	1.27e-06	1.29e-06	1.3e-06
3.49	1.26e-06	1.29e-06	1.32e-06	1.34e-06	1.35e-06
3.49	1.31e-06	1.34e-06	1.37e-06	1.39e-06	1.41e-06
3.5	1.36e-06	1.39e-06	1.42e-06	1.45e-06	1.46e-06
3.5	1.41e-06	1.45e-06	1.48e-06	1.5e-06	1.52e-06
3.51	1.47e-06	1.51e-06	1.54e-06	1.57e-06	1.58e-06
3.51	1.53e-06	1.57e-06	1.6e-06	1.62e-06	1.64e-06
3.52	1.59e-06	1.63e-06	1.66e-06	1.69e-06	1.71e-06
3.52	1.65e-06	1.7e-06	1.73e-06	1.76e-06	1.78e-06
3.53	1.72e-06	1.76e-06	1.8e-06	1.83e-06	1.85e-06
3.53	1.78e-06	1.83e-06	1.87e-06	1.9e-06	1.92e-06
3.54	1.85e-06	1.9e-06	1.94e-06	1.98e-06	2e-06
3.54	1.93e-06	1.98e-06	2.02e-06	2.06e-06	2.08e-06
3.55	2e-06	2.06e-06	2.1e-06	2.14e-06	2.16e-06
3.55	2.08e-06	2.14e-06	2.18e-06	2.22e-06	2.25e-06
3.56	2.17e-06	2.23e-06	2.27e-06	2.31e-06	2.34e-06
3.56	2.26e-06	2.32e-06	2.37e-06	2.41e-06	2.44e-06
3.57	2.34e-06	2.41e-06	2.46e-06	2.5e-06	2.53e-06
3.57	2.44e-06	2.5e-06	2.56e-06	2.6e-06	2.63e-06
3.58	2.54e-06	2.61e-06	2.66e-06	2.71e-06	2.74e-06
3.58	2.64e-06	2.71e-06	2.77e-06	2.82e-06	2.85e-06
3.59	2.74e-06	2.82e-06	2.87e-06	2.93e-06	2.96e-06
3.59	2.85e-06	2.93e-06	2.99e-06	3.05e-06	3.08e-06
3.6	2.97e-06	3.05e-06	3.11e-06	3.17e-06	3.21e-06
3.6	3.09e-06	3.17e-06	3.24e-06	3.3e-06	3.34e-06
3.61	3.2e-06	3.3e-06	3.37e-06	3.43e-06	3.47e-06
3.61	3.33e-06	3.43e-06	3.5e-06	3.57e-06	3.61e-06
3.62	3.47e-06	3.57e-06	3.65e-06	3.72e-06	3.76e-06
3.62	3.61e-06	3.72e-06	3.8e-06	3.87e-06	3.92e-06
3.63	3.75e-06	3.86e-06	3.94e-06	4.02e-06	4.07e-06
3.63	3.9e-06	4.02e-06	4.1e-06	4.18e-06	4.24e-06
3.64	4.06e-06	4.18e-06	4.27e-06	4.35e-06	4.41e-06
3.64	4.23e-06	4.35e-06	4.45e-06	4.53e-06	4.59e-06
3.65	4.39e-06	4.52e-06	4.62e-06	4.71e-06	4.77e-06
3.65	4.57e-06	4.71e-06	4.81e-06	4.9e-06	4.97e-06
3.66	4.76e-06	4.9e-06	5.01e-06	5.11e-06	5.17e-06
3.66	4.95e-06	5.1e-06	5.21e-06	5.32e-06	5.39e-06
3.67	5.14e-06	5.3e-06	5.42e-06	5.52e-06	5.6e-06
3.67	5.35e-06	5.51e-06	5.64e-06	5.75e-06	5.82e-06
3.68	5.57e-06	5.74e-06	5.87e-06	5.99e-06	6.07e-06
3.68	5.8e-06	5.98e-06	6.11e-06	6.24e-06	6.32e-06
3.69	6.02e-06	6.21e-06	6.35e-06	6.48e-06	6.56e-06
3.69	6.27e-06	6.46e-06	6.61e-06	6.75e-06	6.83e-06
3.7	6.53e-06	6.73e-06	6.89e-06	7.03e-06	7.12e-06
3.7	6.8e-06	7.01e-06	7.17e-06	7.32e-06	7.41e-06
3.71	7.06e-06	7.28e-06	7.45e-06	7.6e-06	7.7e-06
3.71	7.35e-06	7.58e-06	7.76e-06	7.92e-06	8.02e-06
3.72	7.65e-06	7.89e-06	8.08e-06	8.25e-06	8.35e-06
3.72	7.97e-06	8.22e-06	8.41e-06	8.59e-06	8.7e-06
3.73	8.28e-06	8.54e-06	8.74e-06	8.92e-06	9.04e-06
3.73	8.62e-06	8.89e-06	9.1e-06	9.29e-06	9.42e-06
3.74	8.97e-06	9.26e-06	9.48e-06	9.68e-06	9.81e-06
3.74	9.34e-06	9.64e-06	9.87e-06	1.01e-05	1.02e-05
3.75	9.7e-06	1e-05	1.03e-05	1.05e-05	1.06e-05
3.75	1.01e-05	1.04e-05	1.07e-05	1.09e-05	1.11e-05
