Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usd=2.00E+0V,Usd=2.17E+0V,Usd=2.33E+0V,Usd=2.50E+0V,Usd=2.67E+0V,Usd=2.83E+0V,Usd=3.00E+0V
3.00000E+0,2.22621E-8,2.24328E-8,2.25339E-8,2.26396E-8,2.27337E-8,2.28329E-8,2.29180E-8
3.01869E+0,2.54943E-8,2.56800E-8,2.57999E-8,2.59230E-8,2.60254E-8,2.61396E-8,2.62393E-8
3.03737E+0,2.91723E-8,2.93803E-8,2.95110E-8,2.96521E-8,2.97737E-8,2.99077E-8,3.00201E-8
3.05606E+0,3.34792E-8,3.37128E-8,3.38624E-8,3.40230E-8,3.41645E-8,3.43096E-8,3.44451E-8
3.07475E+0,3.83520E-8,3.86093E-8,3.87823E-8,3.89714E-8,3.91302E-8,3.93033E-8,3.94593E-8
3.09343E+0,4.40522E-8,4.43455E-8,4.45480E-8,4.47600E-8,4.49468E-8,4.51440E-8,4.53268E-8
3.11212E+0,5.06393E-8,5.09682E-8,5.12056E-8,5.14450E-8,5.16633E-8,5.18908E-8,5.21027E-8
3.13081E+0,5.80869E-8,5.84473E-8,5.87349E-8,5.90110E-8,5.92576E-8,5.95267E-8,5.97688E-8
3.14949E+0,6.68270E-8,6.72378E-8,6.75706E-8,6.78836E-8,6.81782E-8,6.84823E-8,6.87631E-8
3.16818E+0,7.67221E-8,7.71853E-8,7.75741E-8,7.79389E-8,7.82744E-8,7.86368E-8,7.89570E-8
3.18687E+0,8.83013E-8,8.88487E-8,8.93061E-8,8.97256E-8,9.01142E-8,9.05346E-8,9.09079E-8
3.20556E+0,1.01671E-7,1.01482E-7,1.01984E-7,1.02547E-7,1.03024E-7,1.03535E-7,1.03948E-7
3.22424E+0,1.17176E-7,1.17870E-7,1.18474E-7,1.19012E-7,1.19599E-7,1.20110E-7,1.20631E-7
3.24293E+0,1.34759E-7,1.35530E-7,1.36232E-7,1.36917E-7,1.37559E-7,1.38176E-7,1.38750E-7
3.26162E+0,1.55429E-7,1.56297E-7,1.57138E-7,1.57892E-7,1.58623E-7,1.59373E-7,1.60069E-7
3.28030E+0,1.79270E-7,1.80373E-7,1.81331E-7,1.82137E-7,1.83070E-7,1.83925E-7,1.84703E-7
3.29899E+0,2.06442E-7,2.07666E-7,2.08812E-7,2.09787E-7,2.10861E-7,2.11804E-7,2.12715E-7
3.31768E+0,2.38455E-7,2.39868E-7,2.41166E-7,2.42345E-7,2.43537E-7,2.44702E-7,2.45702E-7
3.33636E+0,2.74780E-7,2.76438E-7,2.78025E-7,2.79355E-7,2.80711E-7,2.82054E-7,2.83299E-7
3.35505E+0,3.17584E-7,3.19404E-7,3.21293E-7,3.22826E-7,3.24399E-7,3.26067E-7,3.27436E-7
3.37374E+0,3.66282E-7,3.68508E-7,3.70603E-7,3.72393E-7,3.74316E-7,3.76091E-7,3.77786E-7
3.39242E+0,4.23754E-7,4.26286E-7,4.28695E-7,4.30896E-7,4.33093E-7,4.35199E-7,4.37240E-7
3.41111E+0,4.89203E-7,4.92132E-7,4.94871E-7,4.97506E-7,4.99980E-7,5.02548E-7,5.04806E-7
3.42980E+0,5.66414E-7,5.69892E-7,5.73135E-7,5.76190E-7,5.79067E-7,5.82077E-7,5.84690E-7
3.44848E+0,6.54361E-7,6.58504E-7,6.62146E-7,6.65725E-7,6.69168E-7,6.72676E-7,6.75702E-7
3.46717E+0,7.58114E-7,7.62969E-7,7.67249E-7,7.71563E-7,7.75509E-7,7.79462E-7,7.83116E-7
3.48586E+0,8.78793E-7,8.84328E-7,8.89397E-7,8.94389E-7,8.99083E-7,9.03651E-7,9.07959E-7
3.50455E+0,1.01615E-6,1.02273E-6,1.02859E-6,1.03468E-6,1.04005E-6,1.04555E-6,1.05026E-6
3.52323E+0,1.17835E-6,1.18615E-6,1.19288E-6,1.19991E-6,1.20639E-6,1.21266E-6,1.21835E-6
3.54192E+0,1.36397E-6,1.37287E-6,1.38069E-6,1.38897E-6,1.39651E-6,1.40388E-6,1.41036E-6
3.56061E+0,1.58321E-6,1.59350E-6,1.60282E-6,1.61261E-6,1.62136E-6,1.63005E-6,1.63791E-6
3.57929E+0,1.83356E-6,1.84603E-6,1.85647E-6,1.86808E-6,1.87846E-6,1.88842E-6,1.89740E-6
3.59798E+0,2.12950E-6,2.14406E-6,2.15592E-6,2.16991E-6,2.18240E-6,2.19400E-6,2.20428E-6
3.61667E+0,2.46798E-6,2.48504E-6,2.49895E-6,2.51528E-6,2.52994E-6,2.54351E-6,2.55586E-6
3.63535E+0,2.86876E-6,2.88849E-6,2.90512E-6,2.92360E-6,2.94093E-6,2.95730E-6,2.97146E-6
3.65404E+0,3.33518E-6,3.35826E-6,3.37738E-6,3.40003E-6,3.42006E-6,3.43942E-6,3.45611E-6
3.67273E+0,3.86858E-6,3.89568E-6,3.91895E-6,3.94472E-6,3.96850E-6,3.99089E-6,4.01044E-6
3.69141E+0,4.49899E-6,4.53090E-6,4.55817E-6,4.58758E-6,4.61604E-6,4.64218E-6,4.66531E-6
3.71010E+0,5.22181E-6,5.25872E-6,5.29095E-6,5.32508E-6,5.35970E-6,5.38928E-6,5.41709E-6
3.72879E+0,6.07898E-6,6.12197E-6,6.16032E-6,6.19964E-6,6.23983E-6,6.27488E-6,6.30844E-6
3.74747E+0,7.05961E-6,7.11017E-6,7.15461E-6,7.20032E-6,7.24812E-6,7.28919E-6,7.32760E-6
3.76616E+0,8.22016E-6,8.27915E-6,8.33192E-6,8.38596E-6,8.44134E-6,8.49054E-6,8.53558E-6
