Matavo anoniminis tinginys

Usd,Isd
V,A
 ,Usg=4.40E+0V,Usg=4.47E+0V,Usg=4.54E+0V,Usg=4.61E+0V,Usg=4.68E+0V,Usg=4.75E+0V,Usg=4.82E+0V
0.00000E+0,1.72384E-6,2.28915E-6,3.73515E-6,3.25775E-6,1.91103E-6,2.06361E-6,2.08668E-6
1.26263E-2,3.03649E-4,4.45045E-4,6.10088E-4,7.79813E-4,2.03966E-6,2.65061E-6,2.78171E-6
2.52525E-2,5.32519E-4,8.04339E-4,1.13896E-3,1.49484E-3,1.81824E-3,2.08071E-3,2.27591E-3
3.78788E-2,7.01095E-4,1.08806E-3,1.58653E-3,2.14250E-3,2.65912E-3,3.07871E-3,3.38819E-3
5.05051E-2,8.22555E-4,1.30423E-3,1.95539E-3,2.71775E-3,3.44891E-3,4.04699E-3,4.48237E-3
6.31313E-2,9.09120E-4,1.46585E-3,2.25100E-3,3.21811E-3,4.18266E-3,4.98013E-3,5.55712E-3
7.57576E-2,9.70967E-4,1.58558E-3,2.48311E-3,3.64364E-3,4.85563E-3,5.87707E-3,6.61155E-3
8.83838E-2,1.01665E-3,1.67462E-3,2.66316E-3,3.99859E-3,5.46371E-3,6.73208E-3,7.64341E-3
1.01010E-1,1.04988E-3,1.74122E-3,2.80165E-3,4.28868E-3,6.00448E-3,7.54203E-3,8.64982E-3
1.13636E-1,1.07521E-3,1.79258E-3,2.90968E-3,4.52364E-3,6.47766E-3,8.30345E-3,9.62866E-3
1.26263E-1,1.09531E-3,1.83316E-3,2.99544E-3,4.71349E-3,6.88544E-3,9.01252E-3,1.05795E-2
1.38889E-1,1.11184E-3,1.86650E-3,3.06433E-3,4.86754E-3,7.23360E-3,9.66572E-3,1.14983E-2
1.51515E-1,1.12588E-3,1.89460E-3,3.12204E-3,4.99472E-3,7.52730E-3,1.02623E-2,1.23832E-2
1.64141E-1,1.13825E-3,1.91852E-3,3.17107E-3,5.10135E-3,7.77531E-3,1.07999E-2,1.32326E-2
1.76768E-1,1.14933E-3,1.94042E-3,3.21387E-3,5.19277E-3,7.98691E-3,1.12817E-2,1.40442E-2
1.89394E-1,1.15919E-3,1.95987E-3,3.25208E-3,5.27240E-3,8.16779E-3,1.17085E-2,1.48153E-2
2.02020E-1,1.16835E-3,1.97746E-3,3.28675E-3,5.34341E-3,8.32430E-3,1.20839E-2,1.55416E-2
2.14646E-1,1.17704E-3,1.99367E-3,3.31857E-3,5.40800E-3,8.46260E-3,1.24158E-2,1.62255E-2
2.27273E-1,1.18506E-3,2.00922E-3,3.34846E-3,5.46662E-3,8.58682E-3,1.27087E-2,1.68650E-2
2.39899E-1,1.19263E-3,2.02349E-3,3.37595E-3,5.52064E-3,8.69866E-3,1.29684E-2,1.74588E-2
2.52525E-1,1.19980E-3,2.03723E-3,3.40221E-3,5.57109E-3,8.80101E-3,1.32003E-2,1.80020E-2
2.65152E-1,1.20663E-3,2.05029E-3,3.42654E-3,5.61852E-3,8.89492E-3,1.34094E-2,1.85051E-2
2.77778E-1,1.21333E-3,2.06254E-3,3.44990E-3,5.66362E-3,8.98346E-3,1.35990E-2,1.89629E-2
2.90404E-1,1.21952E-3,2.07430E-3,3.47188E-3,5.70517E-3,9.06508E-3,1.37725E-2,1.93820E-2
3.03030E-1,1.22543E-3,2.08561E-3,3.49273E-3,5.74462E-3,9.14344E-3,1.39338E-2,1.97631E-2
3.15657E-1,1.23127E-3,2.09643E-3,3.51352E-3,5.78267E-3,9.21715E-3,1.40838E-2,2.01125E-2
3.28283E-1,1.23682E-3,2.10656E-3,3.53213E-3,5.81944E-3,9.28601E-3,1.42238E-2,2.04325E-2
