Matavo anoniminis tinginys

Usd,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usg=4.30E+0V,Usg=4.37E+0V,Usg=4.43E+0V,Usg=4.50E+0V,Usg=4.57E+0V,Usg=4.63E+0V,Usg=4.70E+0V
0.00000E+0,9.21595E-7,1.28124E-6,1.52560E-6,1.80034E-6,2.10523E-6,2.83472E-6,3.50664E-6
5.05051E-3,7.21193E-5,1.13986E-4,1.75518E-4,2.58687E-4,3.63255E-4,4.82357E-4,6.05403E-4
1.01010E-2,1.33164E-4,2.11742E-4,3.28560E-4,4.89839E-4,6.95635E-4,9.34093E-4,1.18325E-3
1.51515E-2,1.85229E-4,2.96215E-4,4.63203E-4,6.97596E-4,1.00299E-3,1.36165E-3,1.73908E-3
2.02020E-2,2.29517E-4,3.68955E-4,5.81094E-4,8.83467E-4,1.28406E-3,1.76281E-3,2.27290E-3
2.52525E-2,2.67188E-4,4.31619E-4,6.84065E-4,1.05007E-3,1.54032E-3,2.13785E-3,2.78343E-3
3.03030E-2,2.99214E-4,4.85328E-4,7.73671E-4,1.19696E-3,1.77304E-3,2.48752E-3,3.27121E-3
3.53535E-2,3.26446E-4,5.31444E-4,8.51602E-4,1.32672E-3,1.98351E-3,2.81157E-3,3.73501E-3
4.04040E-2,3.49623E-4,5.70861E-4,9.19134E-4,1.44097E-3,2.17334E-3,3.11086E-3,4.17498E-3
4.54545E-2,3.69301E-4,6.04871E-4,9.77666E-4,1.54161E-3,2.34311E-3,3.38686E-3,4.59123E-3
5.05051E-2,3.86066E-4,6.33966E-4,1.02954E-3,1.62981E-3,2.49529E-3,3.63984E-3,4.98262E-3
5.55556E-2,4.00444E-4,6.58978E-4,1.07347E-3,1.70727E-3,2.63103E-3,3.87055E-3,5.35022E-3
6.06061E-2,4.12724E-4,6.80475E-4,1.11171E-3,1.77545E-3,2.75221E-3,4.08058E-3,5.69459E-3
6.56566E-2,4.23355E-4,6.99116E-4,1.14508E-3,1.83512E-3,2.85968E-3,4.27147E-3,6.01510E-3
7.07071E-2,4.32468E-4,7.15436E-4,1.17411E-3,1.88785E-3,2.95563E-3,4.44491E-3,6.31297E-3
7.57576E-2,4.40376E-4,7.29468E-4,1.19974E-3,1.93447E-3,3.04098E-3,4.60174E-3,6.58914E-3
8.08081E-2,4.47274E-4,7.41720E-4,1.22207E-3,1.97531E-3,3.11733E-3,4.74324E-3,6.84419E-3
8.58586E-2,4.53313E-4,7.52620E-4,1.24189E-3,2.01181E-3,3.18539E-3,4.87143E-3,7.08063E-3
9.09091E-2,4.58643E-4,7.62191E-4,1.25939E-3,2.04428E-3,3.24684E-3,4.98764E-3,7.29743E-3
9.59596E-2,4.63410E-4,7.70739E-4,1.27497E-3,2.07347E-3,3.30154E-3,5.09252E-3,7.49704E-3
1.01010E-1,4.67598E-4,7.78417E-4,1.28903E-3,2.09969E-3,3.35138E-3,5.18810E-3,7.67999E-3
1.06061E-1,4.71394E-4,7.85467E-4,1.30152E-3,2.12317E-3,3.39604E-3,5.27448E-3,7.84829E-3
1.11111E-1,4.74831E-4,7.91638E-4,1.31313E-3,2.14476E-3,3.43666E-3,5.35268E-3,8.00301E-3
1.16162E-1,4.77911E-4,7.97349E-4,1.32369E-3,2.16435E-3,3.47378E-3,5.42503E-3,8.14603E-3
1.21212E-1,4.80791E-4,8.02641E-4,1.33333E-3,2.18252E-3,3.50785E-3,5.49125E-3,8.27694E-3
1.26263E-1,4.83509E-4,8.07447E-4,1.34233E-3,2.19911E-3,3.53973E-3,5.55178E-3,8.39800E-3
1.31313E-1,4.85965E-4,8.11953E-4,1.35078E-3,2.21470E-3,3.56887E-3,5.60823E-3,8.50984E-3
1.36364E-1,4.88271E-4,8.16259E-4,1.35856E-3,2.22942E-3,3.59641E-3,5.66071E-3,8.61400E-3
1.41414E-1,4.90329E-4,8.20266E-4,1.36592E-3,2.24285E-3,3.62167E-3,5.70921E-3,8.71002E-3
1.46465E-1,4.92303E-4,8.23946E-4,1.37270E-3,2.25605E-3,3.64601E-3,5.75518E-3,8.79908E-3
1.51515E-1,4.94230E-4,8.27487E-4,1.37927E-3,2.26797E-3,3.66817E-3,5.79855E-3,8.88300E-3
1.56566E-1,4.96057E-4,8.30809E-4,1.38544E-3,2.27948E-3,3.68989E-3,5.83919E-3,8.96184E-3
1.61616E-1,4.97748E-4,8.34038E-4,1.39136E-3,2.29037E-3,3.71047E-3,5.87722E-3,9.03490E-3
1.66667E-1,4.99469E-4,8.37101E-4,1.39716E-3,2.30112E-3,3.72996E-3,5.91377E-3,9.10503E-3
1.71717E-1,5.01002E-4,8.40131E-4,1.40270E-3,2.31114E-3,3.74902E-3,5.94839E-3,9.17054E-3
1.76768E-1,5.02570E-4,8.43002E-4,1.40803E-3,2.32071E-3,3.76637E-3,5.98195E-3,9.23416E-3
1.81818E-1,5.04011E-4,8.45755E-4,1.41304E-3,2.32995E-3,3.78399E-3,6.01298E-3,9.29368E-3
1.86869E-1,5.05464E-4,8.48458E-4,1.41809E-3,2.33911E-3,3.80042E-3,6.04361E-3,9.35136E-3
1.91919E-1,5.06902E-4,8.51187E-4,1.42262E-3,2.34741E-3,3.81623E-3,6.07322E-3,9.40533E-3
1.96970E-1,5.08295E-4,8.53589E-4,1.42723E-3,2.35616E-3,3.83120E-3,6.10167E-3,9.45788E-3
2.02020E-1,5.09569E-4,8.56018E-4,1.43153E-3,2.36420E-3,3.84634E-3,6.12865E-3,9.50746E-3
2.07071E-1,5.10850E-4,8.58499E-4,1.43576E-3,2.37223E-3,3.86056E-3,6.15431E-3,9.55503E-3
2.12121E-1,5.12084E-4,8.60767E-4,1.44012E-3,2.38009E-3,3.87477E-3,6.17957E-3,9.60200E-3
2.17172E-1,5.13259E-4,8.63075E-4,1.44437E-3,2.38752E-3,3.88818E-3,6.20493E-3,9.64719E-3
2.22222E-1,5.14527E-4,8.65231E-4,1.44829E-3,2.39482E-3,3.90171E-3,6.22851E-3,9.69085E-3
2.27273E-1,5.15687E-4,8.67456E-4,1.45239E-3,2.40196E-3,3.91475E-3,6.25225E-3,9.73206E-3
