Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usd=2.00E+0V,Usd=2.17E+0V,Usd=2.33E+0V,Usd=2.50E+0V,Usd=2.67E+0V,Usd=2.83E+0V,Usd=3.00E+0V
4.00000E+0,5.49328E-5,5.56064E-5,5.61146E-5,5.66339E-5,5.71389E-5,5.75964E-5,5.80580E-5
4.00808E+0,5.86866E-5,5.93940E-5,5.99361E-5,6.04888E-5,6.10230E-5,6.15127E-5,6.20059E-5
4.01616E+0,6.26804E-5,6.34173E-5,6.39961E-5,6.45733E-5,6.51589E-5,6.56750E-5,6.62003E-5
4.02424E+0,6.69426E-5,6.77103E-5,6.83263E-5,6.89488E-5,6.95760E-5,7.01155E-5,7.06813E-5
4.03232E+0,7.16651E-5,7.24795E-5,7.31409E-5,7.38017E-5,7.44686E-5,7.50587E-5,7.56670E-5
4.04040E+0,7.65235E-5,7.73865E-5,7.80945E-5,7.88035E-5,7.95024E-5,8.01351E-5,8.07847E-5
4.04848E+0,8.17223E-5,8.26372E-5,8.33966E-5,8.41462E-5,8.48943E-5,8.55750E-5,8.62696E-5
4.05657E+0,8.74875E-5,8.84474E-5,8.92598E-5,9.00737E-5,9.08770E-5,9.15923E-5,9.23491E-5
4.06465E+0,9.34160E-5,9.44387E-5,9.53040E-5,9.61709E-5,9.70225E-5,9.78126E-5,9.86151E-5
4.07273E+0,9.97341E-5,1.00809E-4,1.01748E-4,1.02669E-4,1.03574E-4,1.04422E-4,1.05271E-4
4.08081E+0,1.06777E-4,1.07934E-4,1.08928E-4,1.09902E-4,1.10880E-4,1.11766E-4,1.12679E-4
4.08889E+0,1.14029E-4,1.15253E-4,1.16313E-4,1.17370E-4,1.18399E-4,1.19351E-4,1.20329E-4
4.09697E+0,1.21737E-4,1.23068E-4,1.24168E-4,1.25300E-4,1.26404E-4,1.27435E-4,1.28467E-4
4.10505E+0,1.30313E-4,1.31750E-4,1.32934E-4,1.34134E-4,1.35307E-4,1.36405E-4,1.37537E-4
4.11313E+0,1.39139E-4,1.40659E-4,1.41926E-4,1.43209E-4,1.44471E-4,1.45634E-4,1.46835E-4
4.12121E+0,1.48545E-4,1.50157E-4,1.51528E-4,1.52905E-4,1.54247E-4,1.55491E-4,1.56774E-4
4.12929E+0,1.59047E-4,1.60730E-4,1.62217E-4,1.63703E-4,1.65131E-4,1.66475E-4,1.67844E-4
4.13737E+0,1.69811E-4,1.71619E-4,1.73176E-4,1.74761E-4,1.76314E-4,1.77704E-4,1.79204E-4
4.14545E+0,1.81289E-4,1.83197E-4,1.84893E-4,1.86579E-4,1.88234E-4,1.89710E-4,1.91332E-4
4.15354E+0,1.94029E-4,1.96093E-4,1.97903E-4,1.99725E-4,2.01465E-4,2.03086E-4,2.04795E-4
4.16162E+0,2.07146E-4,2.09352E-4,2.11287E-4,2.13215E-4,2.15109E-4,2.16847E-4,2.18640E-4
4.16970E+0,2.21097E-4,2.23455E-4,2.25504E-4,2.27569E-4,2.29607E-4,2.31434E-4,2.33359E-4
4.17778E+0,2.36620E-4,2.39144E-4,2.41320E-4,2.43565E-4,2.45736E-4,2.47701E-4,2.49760E-4
4.18586E+0,2.52603E-4,2.55302E-4,2.57614E-4,2.59980E-4,2.62339E-4,2.64449E-4,2.66632E-4
4.19394E+0,2.69616E-4,2.72499E-4,2.75021E-4,2.77512E-4,2.80023E-4,2.82287E-4,2.84631E-4
4.20202E+0,2.88527E-4,2.91610E-4,2.94259E-4,2.96915E-4,2.99684E-4,3.02098E-4,3.04593E-4
4.21010E+0,3.07963E-4,3.11267E-4,3.14081E-4,3.16967E-4,3.19891E-4,3.22491E-4,3.25184E-4
4.21818E+0,3.28667E-4,3.32181E-4,3.35247E-4,3.38280E-4,3.41451E-4,3.44182E-4,3.47096E-4
4.22626E+0,3.50756E-4,3.54533E-4,3.57765E-4,3.61027E-4,3.64404E-4,3.67356E-4,3.70443E-4
4.23434E+0,3.75336E-4,3.79313E-4,3.82823E-4,3.86324E-4,3.89912E-4,3.93088E-4,3.96399E-4
4.24242E+0,4.00448E-4,4.04752E-4,4.08492E-4,4.12230E-4,4.16093E-4,4.19464E-4,4.23030E-4
4.25051E+0,4.27248E-4,4.31890E-4,4.35883E-4,4.39870E-4,4.43935E-4,4.47639E-4,4.51372E-4
4.25859E+0,4.57038E-4,4.61990E-4,4.66292E-4,4.70643E-4,4.74932E-4,4.78850E-4,4.82914E-4
4.26667E+0,4.87626E-4,4.92941E-4,4.97487E-4,5.02108E-4,5.06762E-4,5.10951E-4,5.15257E-4
4.27475E+0,5.20195E-4,5.25953E-4,5.30736E-4,5.35675E-4,5.40714E-4,5.45160E-4,5.49725E-4
4.28283E+0,5.56289E-4,5.62489E-4,5.67739E-4,5.72908E-4,5.78309E-4,5.83014E-4,5.88038E-4
4.29091E+0,5.93562E-4,6.00033E-4,6.05669E-4,6.11209E-4,6.17030E-4,6.21969E-4,6.27448E-4
4.29899E+0,6.33048E-4,6.39912E-4,6.46110E-4,6.51960E-4,6.58130E-4,6.63419E-4,6.69222E-4
4.30707E+0,6.76896E-4,6.84265E-4,6.90872E-4,6.97107E-4,7.03774E-4,7.09523E-4,7.15578E-4
4.31515E+0,7.21888E-4,7.29533E-4,7.36819E-4,7.43416E-4,7.50531E-4,7.56697E-4,7.63184E-4
4.32323E+0,7.69673E-4,7.77922E-4,7.85769E-4,7.92789E-4,8.00470E-4,8.06922E-4,8.13915E-4
4.33131E+0,8.22663E-4,8.31426E-4,8.39904E-4,8.47445E-4,8.55510E-4,8.62431E-4,8.69906E-4
