Matavo anoniminis tinginys

Usd,Isd
V,A
 ,Usg=4.30E+0V,Usg=4.37E+0V,Usg=4.43E+0V,Usg=4.50E+0V,Usg=4.57E+0V,Usg=4.63E+0V,Usg=4.70E+0V
0.00000E+0,1.01941E-6,1.41152E-6,1.98910E-6,2.80675E-6,3.74116E-6,4.13790E-6,4.47034E-6
5.05051E-3,7.21869E-5,1.14189E-4,1.75640E-4,2.59486E-4,3.64887E-4,4.84165E-4,6.07105E-4
1.01010E-2,1.32986E-4,2.11540E-4,3.28173E-4,4.89951E-4,6.96782E-4,9.35430E-4,1.18531E-3
1.51515E-2,1.84779E-4,2.95620E-4,4.62341E-4,6.97179E-4,1.00358E-3,1.36252E-3,1.74178E-3
2.02020E-2,2.28880E-4,3.68116E-4,5.79829E-4,8.82652E-4,1.28425E-3,1.76350E-3,2.27580E-3
2.52525E-2,2.66367E-4,4.30478E-4,6.82371E-4,1.04838E-3,1.53993E-3,2.13843E-3,2.78638E-3
3.03030E-2,2.98242E-4,4.84047E-4,7.71646E-4,1.19496E-3,1.77202E-3,2.48736E-3,3.27453E-3
3.53535E-2,3.25369E-4,5.29986E-4,8.49222E-4,1.32435E-3,1.98189E-3,2.81124E-3,3.73847E-3
4.04040E-2,3.48353E-4,5.69267E-4,9.16477E-4,1.43840E-3,2.17052E-3,3.11018E-3,4.17888E-3
4.54545E-2,3.67982E-4,6.03021E-4,9.74708E-4,1.53877E-3,2.34031E-3,3.38538E-3,4.59466E-3
5.05051E-2,3.84696E-4,6.31956E-4,1.02635E-3,1.62667E-3,2.49203E-3,3.63784E-3,4.98649E-3
5.55556E-2,3.99000E-4,6.56937E-4,1.07035E-3,1.70394E-3,2.62704E-3,3.86825E-3,5.35357E-3
6.06061E-2,4.11211E-4,6.78391E-4,1.10846E-3,1.77198E-3,2.74754E-3,4.07807E-3,5.69695E-3
6.56566E-2,4.21747E-4,6.96902E-4,1.14156E-3,1.83149E-3,2.85486E-3,4.26840E-3,6.01720E-3
7.07071E-2,4.30816E-4,7.12960E-4,1.17051E-3,1.88366E-3,2.95054E-3,4.44120E-3,6.31505E-3
7.57576E-2,4.38627E-4,7.26983E-4,1.19572E-3,1.93008E-3,3.03574E-3,4.59789E-3,6.59118E-3
8.08081E-2,4.45542E-4,7.39304E-4,1.21820E-3,1.97107E-3,3.11156E-3,4.73921E-3,6.84598E-3
8.58586E-2,4.51546E-4,7.50076E-4,1.23788E-3,2.00777E-3,3.17970E-3,4.86677E-3,7.08145E-3
9.09091E-2,4.56838E-4,7.59647E-4,1.25539E-3,2.03984E-3,3.24010E-3,4.98263E-3,7.29824E-3
9.59596E-2,4.61534E-4,7.68272E-4,1.27091E-3,2.06887E-3,3.29481E-3,5.08708E-3,7.49738E-3
1.01010E-1,4.65687E-4,7.75935E-4,1.28494E-3,2.09502E-3,3.34392E-3,5.18192E-3,7.68121E-3
1.06061E-1,4.69380E-4,7.82767E-4,1.29756E-3,2.11868E-3,3.38839E-3,5.26920E-3,7.84911E-3
