Matavo anoniminis tinginys

Usd,Isd
V,A
 ,Usg=4.30E+0V,Usg=4.37E+0V,Usg=4.43E+0V,Usg=4.50E+0V,Usg=4.57E+0V,Usg=4.63E+0V,Usg=4.70E+0V
2.42424E-1,5.21811E-4,8.77832E-4,1.47043E-3,2.43217E-3,3.96650E-3,6.34224E-3,9.88636E-3
2.47475E-1,5.22941E-4,8.79818E-4,1.47390E-3,2.43906E-3,3.97811E-3,6.36332E-3,9.92460E-3
2.52525E-1,5.23988E-4,8.81682E-4,1.47734E-3,2.44525E-3,3.98956E-3,6.38304E-3,9.96138E-3
2.57576E-1,5.25015E-4,8.83662E-4,1.48069E-3,2.45194E-3,4.00059E-3,6.40295E-3,9.99653E-3
2.62626E-1,5.26042E-4,8.85400E-4,1.48409E-3,2.45781E-3,4.01171E-3,6.42287E-3,1.00311E-2
2.67677E-1,5.27024E-4,8.87391E-4,1.48750E-3,2.46369E-3,4.02269E-3,6.44263E-3,1.00657E-2
2.72727E-1,5.28036E-4,8.89224E-4,1.49082E-3,2.46968E-3,4.03368E-3,6.46128E-3,1.00991E-2
2.77778E-1,5.28989E-4,8.90977E-4,1.49406E-3,2.47574E-3,4.04389E-3,6.47860E-3,1.01314E-2
2.82828E-1,5.29923E-4,8.92741E-4,1.49729E-3,2.48124E-3,4.05374E-3,6.49686E-3,1.01625E-2
2.87879E-1,5.30828E-4,8.94466E-4,1.50024E-3,2.48706E-3,4.06373E-3,6.51379E-3,1.01938E-2
2.92929E-1,5.31717E-4,8.96264E-4,1.50341E-3,2.49224E-3,4.07348E-3,6.53185E-3,1.02243E-2
2.97980E-1,5.32670E-4,8.97881E-4,1.50640E-3,2.49793E-3,4.08305E-3,6.54792E-3,1.02541E-2
3.03030E-1,5.33488E-4,8.99487E-4,1.50930E-3,2.50304E-3,4.09262E-3,6.56498E-3,1.02827E-2
3.08081E-1,5.34457E-4,9.00981E-4,1.51218E-3,2.50809E-3,4.10234E-3,6.58074E-3,1.03108E-2
3.13131E-1,5.35337E-4,9.02682E-4,1.51504E-3,2.51311E-3,4.11139E-3,6.59675E-3,1.03385E-2
3.18182E-1,5.36163E-4,9.04194E-4,1.51788E-3,2.51864E-3,4.12004E-3,6.61293E-3,1.03661E-2
3.23232E-1,5.36985E-4,9.05711E-4,1.52066E-3,2.52369E-3,4.12868E-3,6.62808E-3,1.03930E-2
3.28283E-1,5.37902E-4,9.07116E-4,1.52337E-3,2.52829E-3,4.13728E-3,6.64317E-3,1.04199E-2
3.33333E-1,5.38663E-4,9.08651E-4,1.52611E-3,2.53333E-3,4.14579E-3,6.65834E-3,1.04455E-2
3.38384E-1,5.39483E-4,9.10136E-4,1.52871E-3,2.53830E-3,4.15375E-3,6.67387E-3,1.04715E-2
3.43434E-1,5.40278E-4,9.11633E-4,1.53137E-3,2.54303E-3,4.16128E-3,6.68723E-3,1.04956E-2
3.48485E-1,5.41012E-4,9.13136E-4,1.53389E-3,2.54724E-3,4.17006E-3,6.70120E-3,1.05204E-2
3.53535E-1,5.41791E-4,9.14471E-4,1.53640E-3,2.55195E-3,4.17837E-3,6.71554E-3,1.05442E-2
3.58586E-1,5.42512E-4,9.15873E-4,1.53881E-3,2.55628E-3,4.18583E-3,6.72859E-3,1.05673E-2
3.63636E-1,5.43271E-4,9.17227E-4,1.54145E-3,2.56046E-3,4.19364E-3,6.74195E-3,1.05912E-2
3.68687E-1,5.43981E-4,9.18554E-4,1.54376E-3,2.56495E-3,4.20140E-3,6.75542E-3,1.06142E-2
3.73737E-1,5.44676E-4,9.19902E-4,1.54619E-3,2.56911E-3,4.20876E-3,6.76884E-3,1.06365E-2
3.78788E-1,5.45384E-4,9.21103E-4,1.54837E-3,2.57321E-3,4.21587E-3,6.78214E-3,1.06593E-2
3.83838E-1,5.46157E-4,9.22425E-4,1.55092E-3,2.57745E-3,4.22295E-3,6.79460E-3,1.06796E-2
3.88889E-1,5.46798E-4,9.23690E-4,1.55324E-3,2.58133E-3,4.23038E-3,6.80794E-3,1.07007E-2
3.93939E-1,5.47447E-4,9.25051E-4,1.55563E-3,2.58535E-3,4.23728E-3,6.82041E-3,1.07223E-2
3.98990E-1,5.48185E-4,9.26268E-4,1.55775E-3,2.58960E-3,4.24392E-3,6.83244E-3,1.07434E-2
4.04040E-1,5.48864E-4,9.27388E-4,1.56008E-3,2.59349E-3,4.25054E-3,6.84367E-3,1.07627E-2
4.09091E-1,5.49512E-4,9.28640E-4,1.56221E-3,2.59723E-3,4.25740E-3,6.85632E-3,1.07829E-2
4.14141E-1,5.50196E-4,9.29835E-4,1.56408E-3,2.60116E-3,4.26393E-3,6.86702E-3,1.08026E-2
4.19192E-1,5.50806E-4,9.31052E-4,1.56624E-3,2.60489E-3,4.27107E-3,6.87770E-3,1.08212E-2
4.24242E-1,5.51483E-4,9.32110E-4,1.56827E-3,2.60849E-3,4.27735E-3,6.88985E-3,1.08403E-2
4.29293E-1,5.52178E-4,9.33281E-4,1.57038E-3,2.61219E-3,4.28326E-3,6.90078E-3,1.08586E-2
4.34343E-1,5.52760E-4,9.34390E-4,1.57242E-3,2.61590E-3,4.28984E-3,6.91159E-3,1.08778E-2
4.39394E-1,5.53369E-4,9.35408E-4,1.57444E-3,2.61925E-3,4.29564E-3,6.92265E-3,1.08960E-2
