Matavo anoniminis tinginys

Usd,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usg=4.30E+0V,Usg=4.37E+0V,Usg=4.43E+0V,Usg=4.50E+0V,Usg=4.57E+0V,Usg=4.63E+0V,Usg=4.70E+0V
0.00000E+0,-1.90515E-6,-3.05243E-6,-4.08901E-6,-5.22338E-6,-6.47305E-6,-1.02330E-5,-1.19280E-5
5.05051E-3,6.50519E-5,1.00649E-4,1.49941E-4,2.12081E-4,2.82559E-4,3.54133E-4,4.19853E-4
1.01010E-2,1.23249E-4,1.92221E-4,2.89426E-4,4.14337E-4,5.58449E-4,7.06889E-4,8.43064E-4
1.51515E-2,1.73314E-4,2.72587E-4,4.14624E-4,6.00618E-4,8.19126E-4,1.04835E-3,1.25853E-3
2.02020E-2,2.16339E-4,3.42722E-4,5.26404E-4,7.71234E-4,1.06517E-3,1.37641E-3,1.66464E-3
2.52525E-2,2.53235E-4,4.03802E-4,6.25611E-4,9.26594E-4,1.29516E-3,1.69084E-3,2.06086E-3
3.03030E-2,2.84725E-4,4.56773E-4,7.13394E-4,1.06826E-3,1.50933E-3,1.99180E-3,2.44703E-3
3.53535E-2,3.11662E-4,5.02605E-4,7.90745E-4,1.19549E-3,1.70826E-3,2.27842E-3,2.82254E-3
4.04040E-2,3.34691E-4,5.42177E-4,8.58583E-4,1.30975E-3,1.89158E-3,2.55060E-3,3.18722E-3
4.54545E-2,3.54379E-4,5.76355E-4,9.18021E-4,1.41215E-3,2.06049E-3,2.80862E-3,3.54120E-3
5.05051E-2,3.71162E-4,6.05813E-4,9.69927E-4,1.50342E-3,2.21499E-3,3.05145E-3,3.88310E-3
5.55556E-2,3.85582E-4,6.31274E-4,1.01627E-3,1.58443E-3,2.35583E-3,3.27988E-3,4.21251E-3
6.06061E-2,3.97945E-4,6.53238E-4,1.05595E-3,1.65634E-3,2.48382E-3,3.49343E-3,4.53004E-3
6.56566E-2,4.08566E-4,6.72306E-4,1.09063E-3,1.72012E-3,2.59966E-3,3.69282E-3,4.83440E-3
7.07071E-2,4.17730E-4,6.88819E-4,1.12112E-3,1.77664E-3,2.70433E-3,3.87820E-3,5.12555E-3
7.57576E-2,4.25691E-4,7.03277E-4,1.14783E-3,1.82659E-3,2.79895E-3,4.04953E-3,5.40347E-3
8.08081E-2,4.32620E-4,7.15895E-4,1.17116E-3,1.87100E-3,2.88375E-3,4.20747E-3,5.66845E-3
8.58586E-2,4.38701E-4,7.27045E-4,1.19201E-3,1.91062E-3,2.96068E-3,4.35311E-3,5.91956E-3
9.09091E-2,4.44033E-4,7.36788E-4,1.21041E-3,1.94586E-3,3.02988E-3,4.48713E-3,6.15694E-3
9.59596E-2,4.48733E-4,7.45575E-4,1.22674E-3,1.97725E-3,3.09165E-3,4.60963E-3,6.38049E-3
1.01010E-1,4.52923E-4,7.53362E-4,1.24141E-3,2.00556E-3,3.14799E-3,4.72189E-3,6.59192E-3
1.06061E-1,4.56740E-4,7.60414E-4,1.25447E-3,2.03129E-3,3.19848E-3,4.82506E-3,6.78959E-3
1.11111E-1,4.60168E-4,7.66726E-4,1.26666E-3,2.05446E-3,3.24518E-3,4.91937E-3,6.97442E-3
1.16162E-1,4.63279E-4,7.72464E-4,1.27764E-3,2.07517E-3,3.28671E-3,5.00512E-3,7.14727E-3
1.21212E-1,4.66110E-4,7.77801E-4,1.28746E-3,2.09463E-3,3.32539E-3,5.08418E-3,7.30901E-3
1.26263E-1,4.68740E-4,7.82609E-4,1.29683E-3,2.11228E-3,3.35998E-3,5.15727E-3,7.45973E-3
1.31313E-1,4.71051E-4,7.87137E-4,1.30534E-3,2.12864E-3,3.39234E-3,5.22383E-3,7.59929E-3
1.36364E-1,4.73358E-4,7.91272E-4,1.31343E-3,2.14395E-3,3.42184E-3,5.28550E-3,7.72966E-3
1.41414E-1,4.75402E-4,7.95295E-4,1.32081E-3,2.15815E-3,3.44984E-3,5.34210E-3,7.85039E-3
1.46465E-1,4.77455E-4,7.99101E-4,1.32786E-3,2.17120E-3,3.47592E-3,5.39567E-3,7.96285E-3
1.51515E-1,4.79394E-4,8.02556E-4,1.33437E-3,2.18370E-3,3.50004E-3,5.44503E-3,8.06775E-3
1.56566E-1,4.81204E-4,8.05980E-4,1.34077E-3,2.19535E-3,3.52299E-3,5.49069E-3,8.16517E-3
1.61616E-1,4.82902E-4,8.09206E-4,1.34657E-3,2.20688E-3,3.54426E-3,5.53406E-3,8.25661E-3
1.66667E-1,4.84498E-4,8.12196E-4,1.35230E-3,2.21756E-3,3.56461E-3,5.57483E-3,8.34233E-3
1.71717E-1,4.86187E-4,8.15111E-4,1.35769E-3,2.22778E-3,3.58380E-3,5.61347E-3,8.42215E-3
1.76768E-1,4.87626E-4,8.17987E-4,1.36282E-3,2.23754E-3,3.60297E-3,5.64944E-3,8.49806E-3
1.81818E-1,4.89083E-4,8.20615E-4,1.36792E-3,2.24669E-3,3.62057E-3,5.68442E-3,8.56905E-3
1.86869E-1,4.90511E-4,8.23169E-4,1.37282E-3,2.25596E-3,3.63765E-3,5.71649E-3,8.63546E-3
1.91919E-1,4.91914E-4,8.25759E-4,1.37763E-3,2.26469E-3,3.65414E-3,5.74808E-3,8.69878E-3
1.96970E-1,4.93240E-4,8.28108E-4,1.38189E-3,2.27323E-3,3.66976E-3,5.77755E-3,8.75879E-3
2.02020E-1,4.94526E-4,8.30498E-4,1.38653E-3,2.28120E-3,3.68478E-3,5.80683E-3,8.81486E-3
2.07071E-1,4.95802E-4,8.32799E-4,1.39068E-3,2.28941E-3,3.69959E-3,5.83427E-3,8.86947E-3
2.12121E-1,4.97001E-4,8.35143E-4,1.39476E-3,2.29690E-3,3.71410E-3,5.86120E-3,8.92134E-3
2.17172E-1,4.98199E-4,8.37389E-4,1.39887E-3,2.30462E-3,3.72795E-3,5.88712E-3,8.97244E-3
2.22222E-1,4.99356E-4,8.39490E-4,1.40290E-3,2.31191E-3,3.74133E-3,5.91190E-3,9.01977E-3
2.27273E-1,5.00471E-4,8.41622E-4,1.40693E-3,2.31905E-3,3.75457E-3,5.93549E-3,9.06528E-3
