Matavo anoniminis tinginys

Usg,Isd
V,A
 ,Usd=10.00E+0V
2.56335E-3
2.66088E-3
2.75138E-3
2.84107E-3
2.92949E-3
3.01743E-3
3.10787E-3
3.19935E-3
3.29298E-3
3.38828E-3
3.48448E-3
3.58270E-3
3.68191E-3
3.78388E-3
3.88678E-3
3.99245E-3
4.09981E-3
4.20861E-3
4.32019E-3
4.43350E-3
4.54910E-3
4.66684E-3
4.78598E-3
4.90796E-3
5.03139E-3
5.15793E-3
5.28683E-3
5.41699E-3
5.55056E-3
5.68532E-3
5.82339E-3
5.96292E-3
6.10617E-3
6.25047E-3
6.39504E-3
6.54501E-3
6.69589E-3
6.84986E-3
7.00645E-3
7.16541E-3
7.32782E-3
7.49171E-3
7.66006E-3
7.83112E-3
8.00515E-3
8.18148E-3
8.35959E-3
8.54154E-3
8.72437E-3
8.91062E-3
9.09980E-3
9.29157E-3
9.48844E-3
9.68624E-3
9.88810E-3
1.01140E-2
1.03198E-2
1.05296E-2
1.07407E-2
1.09547E-2
1.11718E-2
1.13918E-2
1.16155E-2
1.18393E-2
1.20692E-2
1.23011E-2
1.25341E-2
1.27754E-2
1.30175E-2
1.32621E-2
1.35093E-2
1.37635E-2
1.40163E-2
1.42749E-2
1.45346E-2
1.47950E-2
1.50605E-2
1.53289E-2
1.56024E-2
1.58745E-2
1.61493E-2
1.64303E-2
1.67187E-2
1.70081E-2
1.72974E-2
1.75910E-2
1.78869E-2
1.81837E-2
1.84835E-2
1.87830E-2
1.90849E-2
1.93919E-2
1.97094E-2
2.00256E-2
2.03423E-2
2.06626E-2
2.09826E-2
2.13073E-2
2.16346E-2
2.19627E-2
