Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usd=25.00E+0V
4.00000E+0,5.63870E-5
4.00808E+0,6.02205E-5
4.01616E+0,6.42815E-5
4.02424E+0,6.86074E-5
4.03232E+0,7.34033E-5
4.04040E+0,7.83383E-5
4.04848E+0,8.36170E-5
4.05657E+0,8.94602E-5
4.06465E+0,9.54872E-5
4.07273E+0,1.01887E-4
4.08081E+0,1.09004E-4
4.08889E+0,1.16358E-4
4.09697E+0,1.24161E-4
4.10505E+0,1.32835E-4
4.11313E+0,1.41735E-4
4.12121E+0,1.51243E-4
4.12929E+0,1.61836E-4
4.13737E+0,1.72690E-4
4.14545E+0,1.84244E-4
4.15354E+0,1.97107E-4
4.16162E+0,2.10291E-4
4.16970E+0,2.24322E-4
4.17778E+0,2.39955E-4
4.18586E+0,2.56021E-4
4.19394E+0,2.73172E-4
4.20202E+0,2.92156E-4
4.21010E+0,3.11677E-4
4.21818E+0,3.32465E-4
4.22626E+0,3.54616E-4
4.23434E+0,3.79238E-4
4.24242E+0,4.04476E-4
4.25051E+0,4.31379E-4
4.25859E+0,4.61230E-4
4.26667E+0,4.91852E-4
4.27475E+0,5.24512E-4
4.28283E+0,5.60665E-4
4.29091E+0,5.97838E-4
4.29899E+0,6.37287E-4
4.30707E+0,6.81059E-4
4.31515E+0,7.25928E-4
4.32323E+0,7.73745E-4
4.33131E+0,8.26549E-4
4.33939E+0,8.80702E-4
4.34747E+0,9.38347E-4
4.35556E+0,1.00315E-3
4.36364E+0,1.06849E-3
4.37172E+0,1.13817E-3
4.37980E+0,1.21511E-3
4.38788E+0,1.29378E-3
4.39596E+0,1.37762E-3
4.40404E+0,1.46652E-3
4.41212E+0,1.56527E-3
4.42020E+0,1.66592E-3
4.42828E+0,1.77286E-3
4.43636E+0,1.89092E-3
4.44444E+0,2.01151E-3
4.45253E+0,2.13973E-3
4.46061E+0,2.28064E-3
4.46869E+0,2.42468E-3
4.47677E+0,2.57779E-3
4.48485E+0,2.74673E-3
4.49293E+0,2.91791E-3
4.50101E+0,3.10027E-3
4.50909E+0,3.30102E-3
4.51717E+0,3.50553E-3
4.52525E+0,3.72141E-3
4.53333E+0,3.96021E-3
4.54141E+0,4.20301E-3
4.54949E+0,4.45906E-3
4.55758E+0,4.74073E-3
4.56566E+0,5.02725E-3
4.57374E+0,5.32902E-3
4.58182E+0,5.66076E-3
4.58990E+0,5.99706E-3
4.59798E+0,6.35149E-3
4.60606E+0,6.72555E-3
4.61414E+0,7.13657E-3
4.62222E+0,7.55314E-3
4.63030E+0,7.99011E-3
4.63838E+0,8.46877E-3
4.64646E+0,8.95282E-3
4.65455E+0,9.45962E-3
4.66263E+0,1.00149E-2
4.67071E+0,1.05770E-2
4.67879E+0,1.11647E-2
4.68687E+0,1.18082E-2
4.69495E+0,1.24564E-2
4.70303E+0,1.31343E-2
4.71111E+0,1.38742E-2
4.71919E+0,1.46183E-2
4.72727E+0,1.53960E-2
4.73535E+0,1.62451E-2
4.74343E+0,1.70942E-2
4.75152E+0,1.79789E-2
4.75960E+0,1.89419E-2
4.76768E+0,1.99042E-2
4.77576E+0,2.09079E-2
4.78384E+0,2.19540E-2
4.79192E+0,2.30809E-2
4.80000E+0,2.42097E-2
