Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usd=2.00E+0V,Usd=2.17E+0V,Usd=2.33E+0V,Usd=2.50E+0V,Usd=2.67E+0V,Usd=2.83E+0V,Usd=3.00E+0V
4.47475E+0,2.53918E-3,2.56622E-3,2.59288E-3,2.61870E-3,2.64308E-3,2.66693E-3,2.68905E-3
4.48485E+0,2.74688E-3,2.77615E-3,2.80516E-3,2.83275E-3,2.85915E-3,2.88478E-3,2.90885E-3
4.49495E+0,2.96335E-3,2.99399E-3,3.02583E-3,3.05579E-3,3.08427E-3,3.11167E-3,3.13780E-3
4.50505E+0,3.20361E-3,3.23711E-3,3.27096E-3,3.30367E-3,3.33419E-3,3.36380E-3,3.39183E-3
4.51515E+0,3.46187E-3,3.49819E-3,3.53486E-3,3.57024E-3,3.60314E-3,3.63545E-3,3.66572E-3
4.52525E+0,3.73128E-3,3.77029E-3,3.80949E-3,3.84785E-3,3.88383E-3,3.91816E-3,3.95053E-3
4.53535E+0,4.02945E-3,4.07246E-3,4.11462E-3,4.15567E-3,4.19406E-3,4.23039E-3,4.26669E-3
4.54545E+0,4.34991E-3,4.39551E-3,4.44202E-3,4.48636E-3,4.52727E-3,4.56662E-3,4.60577E-3
4.55556E+0,4.68286E-3,4.73196E-3,4.78193E-3,4.82985E-3,4.87427E-3,4.91624E-3,4.95847E-3
4.56566E+0,5.05149E-3,5.10412E-3,5.15728E-3,5.20950E-3,5.25615E-3,5.30288E-3,5.34736E-3
4.57576E+0,5.44510E-3,5.50249E-3,5.56001E-3,5.61600E-3,5.66679E-3,5.71641E-3,5.76452E-3
4.58586E+0,5.85480E-3,5.91728E-3,5.97769E-3,6.03721E-3,6.09174E-3,6.14601E-3,6.19668E-3
4.59596E+0,6.30734E-3,6.37355E-3,6.43852E-3,6.50274E-3,6.56197E-3,6.62034E-3,6.67461E-3
4.60606E+0,6.77492E-3,6.84788E-3,6.91577E-3,6.98511E-3,7.04834E-3,7.11018E-3,7.16914E-3
4.61616E+0,7.29166E-3,7.36984E-3,7.44296E-3,7.51740E-3,7.58486E-3,7.65131E-3,7.71541E-3
4.62626E+0,7.84280E-3,7.92695E-3,8.00601E-3,8.08476E-3,8.15794E-3,8.22912E-3,8.29756E-3
4.63636E+0,8.41211E-3,8.50124E-3,8.58657E-3,8.67176E-3,8.75067E-3,8.82645E-3,8.89876E-3
4.64646E+0,9.03827E-3,9.13506E-3,9.22586E-3,9.31658E-3,9.40112E-3,9.48181E-3,9.56150E-3
4.65657E+0,9.70496E-3,9.80713E-3,9.90542E-3,1.00022E-2,1.00925E-2,1.01799E-2,1.02639E-2
4.66667E+0,1.03938E-2,1.05046E-2,1.06074E-2,1.07111E-2,1.08070E-2,1.09010E-2,1.09911E-2
4.67677E+0,1.11483E-2,1.12685E-2,1.13787E-2,1.14880E-2,1.15918E-2,1.16927E-2,1.17868E-2
4.68687E+0,1.19512E-2,1.20790E-2,1.21982E-2,1.23149E-2,1.24267E-2,1.25327E-2,1.26339E-2
4.69697E+0,1.27779E-2,1.29141E-2,1.30403E-2,1.31651E-2,1.32850E-2,1.33971E-2,1.35050E-2
4.70707E+0,1.36807E-2,1.38266E-2,1.39630E-2,1.40959E-2,1.42253E-2,1.43445E-2,1.44587E-2
4.71717E+0,1.46395E-2,1.47956E-2,1.49407E-2,1.50819E-2,1.52214E-2,1.53476E-2,1.54685E-2
4.72727E+0,1.56233E-2,1.57874E-2,1.59422E-2,1.60932E-2,1.62413E-2,1.63770E-2,1.65062E-2
4.73737E+0,1.66999E-2,1.68752E-2,1.70403E-2,1.72008E-2,1.73581E-2,1.75038E-2,1.76406E-2
4.74747E+0,1.78337E-2,1.80199E-2,1.81962E-2,1.83674E-2,1.85343E-2,1.86898E-2,1.88388E-2
4.75758E+0,1.89954E-2,1.91943E-2,1.93786E-2,1.95604E-2,1.97379E-2,1.99032E-2,2.00588E-2
4.76768E+0,2.02576E-2,2.04716E-2,2.06648E-2,2.08615E-2,2.10513E-2,2.12238E-2,2.13904E-2
4.77778E+0,2.15937E-2,2.18182E-2,2.20241E-2,2.22340E-2,2.24337E-2,2.26188E-2,2.27958E-2
4.78788E+0,2.29528E-2,2.31908E-2,2.34091E-2,2.36326E-2,2.38419E-2,2.40393E-2,2.42257E-2
4.79798E+0,2.44273E-2,2.46807E-2,2.49140E-2,2.51488E-2,2.53727E-2,2.55771E-2,2.57784E-2
4.80808E+0,2.59279E-2,2.61969E-2,2.64455E-2,2.66930E-2,2.69302E-2,2.71444E-2,2.73595E-2
4.81818E+0,2.75500E-2,2.78359E-2,2.80979E-2,2.83596E-2,2.86106E-2,2.88422E-2,2.90656E-2
4.82828E+0,2.92552E-2,2.95572E-2,2.98379E-2,3.00022E-2,3.00024E-2,3.00025E-2,3.00028E-2
4.83838E+0,3.00027E-2,3.00030E-2,3.00028E-2,3.00027E-2,3.00029E-2,3.00028E-2,3.00032E-2
4.84848E+0,3.00029E-2,3.00032E-2,3.00031E-2,3.00027E-2,3.00030E-2,3.00029E-2,3.00031E-2
4.85859E+0,3.00030E-2,3.00032E-2,3.00029E-2,3.00026E-2,3.00028E-2,3.00027E-2,3.00030E-2
4.86869E+0,3.00030E-2,3.00030E-2,3.00027E-2,3.00025E-2,3.00027E-2,3.00027E-2,3.00029E-2
4.87879E+0,3.00030E-2,3.00030E-2,3.00027E-2,3.00025E-2,3.00027E-2,3.00026E-2,3.00029E-2
4.88889E+0,3.00031E-2,3.00030E-2,3.00027E-2,3.00025E-2,3.00028E-2,3.00025E-2,3.00029E-2
4.89899E+0,3.00031E-2,3.00031E-2,3.00028E-2,3.00024E-2,3.00028E-2,3.00025E-2,3.00029E-2
4.90909E+0,3.00031E-2,3.00031E-2,3.00028E-2,3.00024E-2,3.00027E-2,3.00024E-2,3.00029E-2
4.91919E+0,3.00031E-2,3.00030E-2,3.00027E-2,3.00024E-2,3.00027E-2,3.00023E-2,3.00029E-2
4.92929E+0,3.00032E-2,3.00029E-2,3.00026E-2,3.00024E-2,3.00027E-2,3.00024E-2,3.00029E-2
4.93939E+0,3.00031E-2,3.00029E-2,3.00026E-2,3.00024E-2,3.00026E-2,3.00024E-2,3.00028E-2
4.94949E+0,3.00031E-2,3.00030E-2,3.00027E-2,3.00023E-2,3.00026E-2,3.00024E-2,3.00027E-2
4.95960E+0,3.00031E-2,3.00031E-2,3.00026E-2,3.00024E-2,3.00027E-2,3.00024E-2,3.00027E-2
4.96970E+0,3.00030E-2,3.00030E-2,3.00027E-2,3.00025E-2,3.00027E-2,3.00025E-2,3.00028E-2
4.97980E+0,3.00031E-2,3.00030E-2,3.00026E-2,3.00024E-2,3.00027E-2,3.00025E-2,3.00027E-2
4.98990E+0,3.00030E-2,3.00030E-2,3.00027E-2,3.00024E-2,3.00027E-2,3.00025E-2,3.00028E-2
5.00000E+0,3.00031E-2,3.00029E-2,3.00027E-2,3.00022E-2,3.00027E-2,3.00025E-2,3.00027E-2
