Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usd=8.00E+0V
4.00000E+0,6.19269E-5
4.00808E+0,6.62056E-5
4.01616E+0,7.07546E-5
4.02424E+0,7.55775E-5
4.03232E+0,8.09452E-5
4.04040E+0,8.64771E-5
4.04848E+0,9.24074E-5
4.05657E+0,9.89960E-5
4.06465E+0,1.05755E-4
4.07273E+0,1.12977E-4
4.08081E+0,1.21030E-4
4.08889E+0,1.29323E-4
4.09697E+0,1.38158E-4
4.10505E+0,1.47997E-4
4.11313E+0,1.58119E-4
4.12121E+0,1.68887E-4
4.12929E+0,1.80904E-4
4.13737E+0,1.93264E-4
4.14545E+0,2.06462E-4
4.15354E+0,2.21126E-4
4.16162E+0,2.36220E-4
4.16970E+0,2.52249E-4
4.17778E+0,2.70144E-4
4.18586E+0,2.88519E-4
4.19394E+0,3.08146E-4
4.20202E+0,3.29880E-4
4.21010E+0,3.52309E-4
4.21818E+0,3.76216E-4
4.22626E+0,4.01696E-4
4.23434E+0,4.30051E-4
4.24242E+0,4.59109E-4
4.25051E+0,4.90112E-4
4.25859E+0,5.24613E-4
4.26667E+0,5.59915E-4
4.27475E+0,5.97646E-4
4.28283E+0,6.39532E-4
4.29091E+0,6.82474E-4
4.29899E+0,7.28170E-4
4.30707E+0,7.79047E-4
4.31515E+0,8.31153E-4
4.32323E+0,8.86628E-4
4.33131E+0,9.48135E-4
4.33939E+0,1.01216E-3
4.34747E+0,1.07929E-3
4.35556E+0,1.15381E-3
4.36364E+0,1.23006E-3
4.37172E+0,1.31143E-3
4.37980E+0,1.40160E-3
4.38788E+0,1.49362E-3
4.39596E+0,1.59176E-3
4.40404E+0,1.69585E-3
4.41212E+0,1.81159E-3
4.42020E+0,1.92957E-3
4.42828E+0,2.05482E-3
4.43636E+0,2.19352E-3
4.44444E+0,2.33488E-3
4.45253E+0,2.48566E-3
4.46061E+0,2.65178E-3
4.46869E+0,2.82147E-3
4.47677E+0,3.00154E-3
4.48485E+0,3.19994E-3
4.49293E+0,3.40220E-3
4.50101E+0,3.61681E-3
4.50909E+0,3.85338E-3
4.51717E+0,4.09479E-3
4.52525E+0,4.35022E-3
4.53333E+0,4.63252E-3
4.54141E+0,4.91867E-3
4.54949E+0,5.22154E-3
4.55758E+0,5.55508E-3
4.56566E+0,5.89445E-3
4.57374E+0,6.25207E-3
4.58182E+0,6.64580E-3
4.58990E+0,7.04530E-3
4.59798E+0,7.46741E-3
4.60606E+0,7.91164E-3
4.61414E+0,8.39976E-3
4.62222E+0,8.89415E-3
4.63030E+0,9.41344E-3
4.63838E+0,9.98317E-3
4.64646E+0,1.05610E-2
4.65455E+0,1.11659E-2
4.66263E+0,1.18291E-2
4.67071E+0,1.24990E-2
4.67879E+0,1.32037E-2
4.68687E+0,1.39717E-2
4.69495E+0,1.47481E-2
4.70303E+0,1.55600E-2
4.71111E+0,1.64456E-2
4.71919E+0,1.73382E-2
4.72727E+0,1.82717E-2
4.73535E+0,1.92916E-2
4.74343E+0,2.03154E-2
4.75152E+0,2.13828E-2
4.75960E+0,2.25419E-2
4.76768E+0,2.37074E-2
4.77576E+0,2.49205E-2
4.78384E+0,2.61872E-2
4.79192E+0,2.75582E-2
4.80000E+0,2.89336E-2
