Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usd=25.00E+0V
4.00000E+0,5.65540E-5
4.00859E+0,6.05464E-5
4.01717E+0,6.49633E-5
4.02576E+0,6.97027E-5
4.03434E+0,7.47607E-5
4.04293E+0,8.02270E-5
4.05152E+0,8.60466E-5
4.06010E+0,9.23117E-5
4.06869E+0,9.90339E-5
4.07727E+0,1.06222E-4
4.08586E+0,1.13971E-4
4.09444E+0,1.21920E-4
4.10303E+0,1.30792E-4
4.11162E+0,1.40296E-4
4.12020E+0,1.50466E-4
4.12879E+0,1.61421E-4
4.13737E+0,1.73143E-4
4.14596E+0,1.85726E-4
4.15455E+0,1.99188E-4
4.16313E+0,2.13660E-4
4.17172E+0,2.29123E-4
4.18030E+0,2.45056E-4
4.18889E+0,2.62846E-4
4.19747E+0,2.81853E-4
4.20606E+0,3.02244E-4
4.21465E+0,3.24117E-4
4.22323E+0,3.47536E-4
4.23182E+0,3.72600E-4
4.24040E+0,3.99439E-4
4.24899E+0,4.28220E-4
4.25758E+0,4.59077E-4
4.26616E+0,4.90834E-4
4.27475E+0,5.26141E-4
4.28333E+0,5.63845E-4
4.29192E+0,6.04316E-4
4.30051E+0,6.47509E-4
4.30909E+0,6.93784E-4
4.31768E+0,7.43182E-4
4.32626E+0,7.96160E-4
4.33485E+0,8.52561E-4
4.34343E+0,9.13044E-4
4.35202E+0,9.77741E-4
4.36061E+0,1.04506E-3
4.36919E+0,1.11890E-3
4.37778E+0,1.19752E-3
4.38636E+0,1.28149E-3
4.39495E+0,1.37122E-3
4.40354E+0,1.46685E-3
4.41212E+0,1.56953E-3
4.42071E+0,1.67863E-3
4.42929E+0,1.79525E-3
4.43788E+0,1.91923E-3
4.44646E+0,2.04677E-3
4.45505E+0,2.18788E-3
4.46364E+0,2.33774E-3
4.47222E+0,2.49769E-3
4.48081E+0,2.66781E-3
4.48939E+0,2.84882E-3
4.49798E+0,3.04084E-3
4.50657E+0,3.24586E-3
4.51515E+0,3.46340E-3
4.52374E+0,3.69519E-3
4.53232E+0,3.93227E-3
4.54091E+0,4.19287E-3
4.54949E+0,4.46899E-3
4.55808E+0,4.76291E-3
4.56667E+0,5.07442E-3
4.57525E+0,5.40331E-3
4.58384E+0,5.75254E-3
4.59242E+0,6.12246E-3
4.60101E+0,6.51394E-3
4.60960E+0,6.92892E-3
4.61818E+0,7.34983E-3
4.62677E+0,7.81194E-3
4.63535E+0,8.29901E-3
4.64394E+0,8.81395E-3
4.65253E+0,9.35604E-3
4.66111E+0,9.92769E-3
4.66970E+0,1.05301E-2
4.67828E+0,1.11653E-2
4.68687E+0,1.18327E-2
4.69545E+0,1.25344E-2
4.70404E+0,1.32437E-2
4.71263E+0,1.40168E-2
4.72121E+0,1.48289E-2
4.72980E+0,1.56793E-2
4.73838E+0,1.65754E-2
4.74697E+0,1.75095E-2
4.75556E+0,1.84876E-2
4.76414E+0,1.95081E-2
4.77273E+0,2.05772E-2
4.78131E+0,2.16924E-2
4.78990E+0,2.28109E-2
4.79848E+0,2.40189E-2
4.80707E+0,2.52741E-2
4.81566E+0,2.65840E-2
4.82424E+0,2.79370E-2
4.83283E+0,2.93455E-2
4.84141E+0,3.00024E-2
4.85000E+0,3.00022E-2
