Matavo anoniminis tinginys

Usd,Isd
V,A
 ,Usg=4.40E+0V,Usg=4.47E+0V,Usg=4.53E+0V,Usg=4.60E+0V,Usg=4.67E+0V,Usg=4.73E+0V,Usg=4.80E+0V
0.00000E+0,1.48130E-6,2.20539E-6,3.93920E-6,4.14399E-6,3.45065E-6,4.09145E-6,1.75797E-6
1.26263E-2,3.04613E-4,4.38982E-4,5.95854E-4,7.56132E-4,2.23111E-6,2.25114E-6,2.10417E-6
2.52525E-2,5.34389E-4,7.92410E-4,1.10941E-3,1.44554E-3,1.76209E-3,2.02541E-3,2.22982E-3
3.78788E-2,7.03561E-4,1.07088E-3,1.54144E-3,2.06446E-3,2.56916E-3,2.99105E-3,3.31563E-3
5.05051E-2,8.25468E-4,1.28235E-3,1.89505E-3,2.60925E-3,3.32109E-3,3.92179E-3,4.38075E-3
6.31313E-2,9.12563E-4,1.44038E-3,2.17677E-3,3.07756E-3,4.01278E-3,4.81393E-3,5.42303E-3
7.57576E-2,9.74674E-4,1.55699E-3,2.39647E-3,3.47161E-3,4.63907E-3,5.66430E-3,6.44017E-3
8.83838E-2,1.02073E-3,1.64345E-3,2.56586E-3,3.79573E-3,5.19777E-3,6.46823E-3,7.43105E-3
1.01010E-1,1.05399E-3,1.70833E-3,2.69624E-3,4.05843E-3,5.68646E-3,7.22029E-3,8.39192E-3
1.13636E-1,1.07942E-3,1.75841E-3,2.79748E-3,4.26949E-3,6.10756E-3,7.91829E-3,9.32061E-3
1.26263E-1,1.09966E-3,1.79799E-3,2.87770E-3,4.43873E-3,6.46526E-3,8.55799E-3,1.02143E-2
1.38889E-1,1.11637E-3,1.82998E-3,2.94289E-3,4.57587E-3,6.76575E-3,9.13821E-3,1.10698E-2
1.51515E-1,1.13073E-3,1.85729E-3,2.99708E-3,4.68961E-3,7.01733E-3,9.65777E-3,1.18862E-2
1.64141E-1,1.14300E-3,1.88094E-3,3.04323E-3,4.78510E-3,7.22959E-3,1.01189E-2,1.26584E-2
1.76768E-1,1.15409E-3,1.90205E-3,3.08354E-3,4.86701E-3,7.40863E-3,1.05230E-2,1.33855E-2
1.89394E-1,1.16411E-3,1.92088E-3,3.11979E-3,4.93878E-3,7.56240E-3,1.08758E-2,1.40651E-2
2.02020E-1,1.17344E-3,1.93811E-3,3.15281E-3,5.00258E-3,7.69567E-3,1.11844E-2,1.46945E-2
2.14646E-1,1.18199E-3,1.95429E-3,3.18300E-3,5.06108E-3,7.81423E-3,1.14547E-2,1.52759E-2
2.27273E-1,1.19016E-3,1.96939E-3,3.21097E-3,5.11417E-3,7.92063E-3,1.16925E-2,1.58088E-2
2.39899E-1,1.19777E-3,1.98363E-3,3.23703E-3,5.16333E-3,8.01756E-3,1.19046E-2,1.62929E-2
2.52525E-1,1.20483E-3,1.99697E-3,3.26162E-3,5.20932E-3,8.10729E-3,1.20932E-2,1.67311E-2
2.65152E-1,1.21191E-3,2.00953E-3,3.28472E-3,5.25216E-3,8.18990E-3,1.22641E-2,1.71274E-2
2.77778E-1,1.21838E-3,2.02153E-3,3.30716E-3,5.29285E-3,8.26785E-3,1.24218E-2,1.74887E-2
2.90404E-1,1.22465E-3,2.03325E-3,3.32822E-3,5.33102E-3,8.33945E-3,1.25663E-2,1.78142E-2
3.03030E-1,1.23056E-3,2.04409E-3,3.34781E-3,5.36769E-3,8.40793E-3,1.27006E-2,1.81101E-2
3.15657E-1,1.23647E-3,2.05445E-3,3.36704E-3,5.40207E-3,8.47250E-3,1.28255E-2,1.83832E-2
3.28283E-1,1.24187E-3,2.06449E-3,3.38492E-3,5.43594E-3,8.53326E-3,1.29435E-2,1.86315E-2
3.40909E-1,1.24710E-3,2.07427E-3,3.40254E-3,5.46768E-3,8.59077E-3,1.30529E-2,1.88634E-2
3.53535E-1,1.25224E-3,2.08336E-3,3.41884E-3,5.49779E-3,8.64539E-3,1.31575E-2,1.90795E-2
3.66162E-1,1.25733E-3,2.09245E-3,3.43511E-3,5.52670E-3,8.69725E-3,1.32565E-2,1.92810E-2
3.78788E-1,1.26188E-3,2.10068E-3,3.45019E-3,5.55465E-3,8.74737E-3,1.33513E-2,1.94690E-2
3.91414E-1,1.26648E-3,2.10881E-3,3.46497E-3,5.58125E-3,8.79688E-3,1.34416E-2,1.96471E-2
4.04040E-1,1.27089E-3,2.11680E-3,3.47888E-3,5.60717E-3,8.84334E-3,1.35267E-2,1.98174E-2
4.16667E-1,1.27510E-3,2.12463E-3,3.49274E-3,5.63156E-3,8.88848E-3,1.36098E-2,1.99768E-2
4.29293E-1,1.27945E-3,2.13225E-3,3.50623E-3,5.65571E-3,8.93111E-3,1.36880E-2,2.01280E-2
4.41919E-1,1.28358E-3,2.13947E-3,3.51895E-3,5.67796E-3,8.97172E-3,1.37628E-2,2.02734E-2
4.54545E-1,1.28744E-3,2.14660E-3,3.53142E-3,5.70046E-3,9.01069E-3,1.38356E-2,2.04125E-2
4.67172E-1,1.29118E-3,2.15328E-3,3.54374E-3,5.72190E-3,9.04921E-3,1.39063E-2,2.05443E-2
4.79798E-1,1.29490E-3,2.15998E-3,3.55557E-3,5.74311E-3,9.08670E-3,1.39731E-2,2.06701E-2
