Matavo anoniminis tinginys

Usd,Isd
V,A
 ,Usg=4.30E+0V,Usg=4.37E+0V,Usg=4.43E+0V,Usg=4.50E+0V,Usg=4.57E+0V,Usg=4.63E+0V,Usg=4.70E+0V
0.00000E+0,1.13136E-6,1.12259E-6,1.66150E-6,2.37383E-6,3.13990E-6,3.67859E-6,3.94792E-6
5.05051E-3,7.29674E-5,1.15230E-4,1.76945E-4,2.60803E-4,3.66290E-4,4.85828E-4,6.07348E-4
1.01010E-2,1.34633E-4,2.13793E-4,3.31152E-4,4.93328E-4,7.00276E-4,9.39035E-4,1.18662E-3
1.51515E-2,1.87151E-4,2.99034E-4,4.66773E-4,7.02335E-4,1.00903E-3,1.36859E-3,1.74470E-3
2.02020E-2,2.31929E-4,3.72540E-4,5.85632E-4,8.89444E-4,1.29166E-3,1.77138E-3,2.28012E-3
2.52525E-2,2.69970E-4,4.35744E-4,6.89408E-4,1.05723E-3,1.54925E-3,2.14844E-3,2.79330E-3
3.03030E-2,3.02330E-4,4.90025E-4,7.79779E-4,1.20516E-3,1.78338E-3,2.49928E-3,3.28253E-3
3.53535E-2,3.29881E-4,5.36636E-4,8.58409E-4,1.33593E-3,1.99527E-3,2.82585E-3,3.74859E-3
4.04040E-2,3.53279E-4,5.76526E-4,9.26575E-4,1.45134E-3,2.18622E-3,3.12715E-3,4.19129E-3
4.54545E-2,3.73231E-4,6.10825E-4,9.85794E-4,1.55285E-3,2.35734E-3,3.40497E-3,4.60963E-3
5.05051E-2,3.90215E-4,6.40269E-4,1.03769E-3,1.64209E-3,2.51071E-3,3.65958E-3,5.00391E-3
5.55556E-2,4.04732E-4,6.65498E-4,1.08225E-3,1.72024E-3,2.64767E-3,3.89189E-3,5.37419E-3
6.06061E-2,4.17177E-4,6.87338E-4,1.12088E-3,1.78914E-3,2.76969E-3,4.10349E-3,5.72024E-3
6.56566E-2,4.27900E-4,7.06192E-4,1.15442E-3,1.84949E-3,2.87817E-3,4.29628E-3,6.04309E-3
7.07071E-2,4.37178E-4,7.22541E-4,1.18388E-3,1.90282E-3,2.97489E-3,4.47094E-3,6.34381E-3
7.57576E-2,4.45173E-4,7.36750E-4,1.20959E-3,1.94965E-3,3.06112E-3,4.62940E-3,6.62157E-3
8.08081E-2,4.52156E-4,7.49339E-4,1.23202E-3,1.99118E-3,3.13835E-3,4.77287E-3,6.87948E-3
8.58586E-2,4.58275E-4,7.60238E-4,1.25205E-3,2.02780E-3,3.20730E-3,4.90236E-3,7.11757E-3
9.09091E-2,4.63699E-4,7.69898E-4,1.26987E-3,2.06064E-3,3.26889E-3,5.01920E-3,7.33670E-3
9.59596E-2,4.68473E-4,7.78662E-4,1.28561E-3,2.08991E-3,3.32382E-3,5.12490E-3,7.53886E-3
1.01010E-1,4.72705E-4,7.86468E-4,1.29978E-3,2.11671E-3,3.37394E-3,5.22110E-3,7.72431E-3
1.06061E-1,4.76551E-4,7.93341E-4,1.31284E-3,2.14028E-3,3.41945E-3,5.30904E-3,7.89457E-3
1.11111E-1,4.80102E-4,7.99796E-4,1.32448E-3,2.16205E-3,3.46041E-3,5.38861E-3,8.05119E-3
1.16162E-1,4.83240E-4,8.05541E-4,1.33539E-3,2.18195E-3,3.49815E-3,5.46113E-3,8.19560E-3
1.21212E-1,4.86014E-4,8.10735E-4,1.34478E-3,2.20034E-3,3.53293E-3,5.52901E-3,8.32776E-3
1.26263E-1,4.88654E-4,8.15691E-4,1.35403E-3,2.21712E-3,3.56478E-3,5.59007E-3,8.45016E-3
1.31313E-1,4.91091E-4,8.20259E-4,1.36244E-3,2.23292E-3,3.59445E-3,5.64753E-3,8.56323E-3
1.36364E-1,4.93355E-4,8.24476E-4,1.37035E-3,2.24763E-3,3.62182E-3,5.70085E-3,8.66824E-3
1.41414E-1,4.95523E-4,8.28445E-4,1.37749E-3,2.26120E-3,3.64770E-3,5.75056E-3,8.76591E-3
1.46465E-1,4.97595E-4,8.32086E-4,1.38450E-3,2.27402E-3,3.67219E-3,5.79677E-3,8.85662E-3
1.51515E-1,4.99536E-4,8.35764E-4,1.39108E-3,2.28617E-3,3.69481E-3,5.84017E-3,8.94025E-3
1.56566E-1,5.01333E-4,8.39133E-4,1.39727E-3,2.29800E-3,3.71668E-3,5.88079E-3,9.02030E-3
1.61616E-1,5.03104E-4,8.42372E-4,1.40347E-3,2.30911E-3,3.73698E-3,5.91958E-3,9.09584E-3
1.66667E-1,5.04761E-4,8.45565E-4,1.40905E-3,2.31986E-3,3.75666E-3,5.95637E-3,9.16615E-3
1.71717E-1,5.06410E-4,8.48536E-4,1.41449E-3,2.32980E-3,3.77569E-3,5.99095E-3,9.23323E-3
1.76768E-1,5.07928E-4,8.51439E-4,1.41989E-3,2.33961E-3,3.79356E-3,6.02419E-3,9.29603E-3
1.81818E-1,5.09435E-4,8.54204E-4,1.42498E-3,2.34899E-3,3.81069E-3,6.05641E-3,9.35607E-3
1.86869E-1,5.10857E-4,8.57006E-4,1.42993E-3,2.35818E-3,3.82735E-3,6.08681E-3,9.41382E-3
1.91919E-1,5.12273E-4,8.59594E-4,1.43466E-3,2.36700E-3,3.84327E-3,6.11639E-3,9.46752E-3
1.96970E-1,5.13632E-4,8.62088E-4,1.43932E-3,2.37545E-3,3.85872E-3,6.14412E-3,9.52068E-3
2.02020E-1,5.14968E-4,8.64551E-4,1.44379E-3,2.38359E-3,3.87396E-3,6.17150E-3,9.57108E-3
2.07071E-1,5.16266E-4,8.66799E-4,1.44816E-3,2.39195E-3,3.88846E-3,6.19820E-3,9.61960E-3
2.12121E-1,5.17537E-4,8.69104E-4,1.45230E-3,2.39933E-3,3.90229E-3,6.22389E-3,9.66694E-3
2.17172E-1,5.18802E-4,8.71415E-4,1.45647E-3,2.40709E-3,3.91641E-3,6.24849E-3,9.71156E-3
2.22222E-1,5.19995E-4,8.73623E-4,1.46051E-3,2.41483E-3,3.92974E-3,6.27232E-3,9.75616E-3
2.27273E-1,5.21176E-4,8.75825E-4,1.46453E-3,2.42167E-3,3.94256E-3,6.29571E-3,9.79853E-3
2.32323E-1,5.22278E-4,8.77922E-4,1.46848E-3,2.42897E-3,3.95560E-3,6.31854E-3,9.84000E-3
2.37374E-1,5.23432E-4,8.80000E-4,1.47213E-3,2.43558E-3,3.96808E-3,6.34051E-3,9.87984E-3
2.42424E-1,5.24499E-4,8.82101E-4,1.47603E-3,2.44266E-3,3.98026E-3,6.36287E-3,9.91966E-3
2.47475E-1,5.25543E-4,8.84066E-4,1.47956E-3,2.44929E-3,3.99213E-3,6.38336E-3,9.95714E-3
2.52525E-1,5.26661E-4,8.86061E-4,1.48314E-3,2.45588E-3,4.00326E-3,6.40472E-3,9.99392E-3
2.57576E-1,5.27656E-4,8.87935E-4,1.48665E-3,2.46241E-3,4.01471E-3,6.42461E-3,1.00282E-2
2.62626E-1,5.28697E-4,8.89848E-4,1.49002E-3,2.46871E-3,4.02611E-3,6.44427E-3,1.00629E-2
2.67677E-1,5.29720E-4,8.91516E-4,1.49359E-3,2.47480E-3,4.03716E-3,6.46409E-3,1.00966E-2
2.72727E-1,5.30739E-4,8.93319E-4,1.49699E-3,2.48056E-3,4.04845E-3,6.48234E-3,1.01301E-2
2.77778E-1,5.31710E-4,8.95150E-4,1.50025E-3,2.48662E-3,4.05858E-3,6.50071E-3,1.01633E-2
