Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usd=25.00E+0V
4.00000E+0,4.92182E-5
4.00657E+0,5.18725E-5
4.01313E+0,5.47940E-5
4.01970E+0,5.77186E-5
4.02626E+0,6.09464E-5
4.03283E+0,6.42011E-5
4.03939E+0,6.77941E-5
4.04596E+0,7.15977E-5
4.05253E+0,7.54076E-5
4.05909E+0,7.96191E-5
4.06566E+0,8.38585E-5
4.07222E+0,8.85415E-5
4.07879E+0,9.32524E-5
4.08535E+0,9.84656E-5
4.09192E+0,1.03965E-4
4.09848E+0,1.09508E-4
4.10505E+0,1.15627E-4
4.11162E+0,1.21777E-4
4.11818E+0,1.28570E-4
4.12475E+0,1.35424E-4
4.13131E+0,1.42981E-4
4.13788E+0,1.50962E-4
4.14444E+0,1.58971E-4
4.15101E+0,1.67823E-4
4.15758E+0,1.76733E-4
4.16414E+0,1.86595E-4
4.17071E+0,1.96466E-4
4.17727E+0,2.07407E-4
4.18384E+0,2.18972E-4
4.19040E+0,2.30553E-4
4.19697E+0,2.43377E-4
4.20354E+0,2.56266E-4
4.21010E+0,2.70519E-4
4.21667E+0,2.84799E-4
4.22323E+0,3.00634E-4
4.22980E+0,3.17311E-4
4.23636E+0,3.34054E-4
4.24293E+0,3.52566E-4
4.24949E+0,3.71099E-4
4.25606E+0,3.91600E-4
4.26263E+0,4.12179E-4
4.26919E+0,4.34952E-4
4.27576E+0,4.59000E-4
4.28232E+0,4.83079E-4
4.28889E+0,5.09844E-4
4.29545E+0,5.36524E-4
4.30202E+0,5.65982E-4
4.30859E+0,5.95593E-4
4.31515E+0,6.28360E-4
4.32172E+0,6.62777E-4
4.32828E+0,6.97284E-4
4.33485E+0,7.35434E-4
4.34141E+0,7.73672E-4
4.34798E+0,8.15867E-4
4.35455E+0,8.58179E-4
4.36111E+0,9.04812E-4
4.36768E+0,9.54151E-4
4.37424E+0,1.00407E-3
4.38081E+0,1.05851E-3
4.38737E+0,1.11283E-3
4.39394E+0,1.17300E-3
4.40051E+0,1.23302E-3
4.40707E+0,1.29930E-3
4.41364E+0,1.36931E-3
4.42020E+0,1.43899E-3
4.42677E+0,1.51596E-3
4.43333E+0,1.59311E-3
4.43990E+0,1.67773E-3
4.44646E+0,1.76271E-3
4.45303E+0,1.85623E-3
4.45960E+0,1.95434E-3
4.46616E+0,2.05243E-3
4.47273E+0,2.16079E-3
4.47929E+0,2.26857E-3
4.48586E+0,2.38753E-3
4.49242E+0,2.50580E-3
4.49899E+0,2.63602E-3
4.50556E+0,2.77299E-3
4.51212E+0,2.90989E-3
4.51869E+0,3.06022E-3
4.52525E+0,3.20973E-3
4.53182E+0,3.37484E-3
4.53838E+0,3.53933E-3
4.54495E+0,3.71990E-3
4.55152E+0,3.90878E-3
4.55808E+0,4.09689E-3
4.56465E+0,4.30376E-3
4.57121E+0,4.50924E-3
4.57778E+0,4.73533E-3
4.58434E+0,4.95979E-3
4.59091E+0,5.20575E-3
4.59747E+0,5.46348E-3
4.60404E+0,5.71903E-3
4.61061E+0,5.99998E-3
4.61717E+0,6.27915E-3
4.62374E+0,6.58482E-3
4.63030E+0,6.88741E-3
4.63687E+0,7.21905E-3
4.64343E+0,7.56489E-3
4.65000E+0,7.90761E-3
