Matavo anoniminis tinginys

Usd,Isd
V,A
 ,Usg=4.30E+0V,Usg=4.37E+0V,Usg=4.43E+0V,Usg=4.50E+0V,Usg=4.57E+0V,Usg=4.63E+0V,Usg=4.70E+0V
0.00000E+0,1.03515E-6,1.24403E-6,1.56192E-6,1.85867E-6,2.86310E-6,3.41462E-6,3.63643E-6
5.05051E-3,7.25743E-5,1.14802E-4,1.76149E-4,2.59422E-4,3.64713E-4,4.84128E-4,6.06192E-4
1.01010E-2,1.33865E-4,2.12756E-4,3.29685E-4,4.91149E-4,6.97970E-4,9.36537E-4,1.18481E-3
1.51515E-2,1.86095E-4,2.97507E-4,4.64767E-4,6.99491E-4,1.00594E-3,1.36488E-3,1.74245E-3
2.02020E-2,2.30604E-4,3.70580E-4,5.83134E-4,8.85893E-4,1.28782E-3,1.76654E-3,2.27724E-3
2.52525E-2,2.68476E-4,4.33460E-4,6.86488E-4,1.05285E-3,1.54455E-3,2.14267E-3,2.78895E-3
3.03030E-2,3.00597E-4,4.87414E-4,7.76420E-4,1.20014E-3,1.77794E-3,2.49302E-3,3.27759E-3
3.53535E-2,3.27937E-4,5.33632E-4,8.54573E-4,1.33035E-3,1.98903E-3,2.81819E-3,3.74288E-3
4.04040E-2,3.51179E-4,5.73314E-4,9.22250E-4,1.44506E-3,2.17880E-3,3.11856E-3,4.18433E-3
4.54545E-2,3.70959E-4,6.07380E-4,9.81055E-4,1.54602E-3,2.34933E-3,3.39500E-3,4.60179E-3
5.05051E-2,3.87836E-4,6.36505E-4,1.03297E-3,1.63468E-3,2.50202E-3,3.64845E-3,4.99497E-3
5.55556E-2,4.02274E-4,6.61718E-4,1.07725E-3,1.71275E-3,2.63853E-3,3.87994E-3,5.36327E-3
6.06061E-2,4.14664E-4,6.83380E-4,1.11547E-3,1.78086E-3,2.75983E-3,4.09105E-3,5.70809E-3
6.56566E-2,4.25287E-4,7.02145E-4,1.14892E-3,1.84093E-3,2.86808E-3,4.28248E-3,6.02967E-3
7.07071E-2,4.34476E-4,7.18384E-4,1.17814E-3,1.89389E-3,2.96426E-3,4.45689E-3,6.32934E-3
7.57576E-2,4.42458E-4,7.32505E-4,1.20382E-3,1.94048E-3,3.05017E-3,4.61428E-3,6.60713E-3
8.08081E-2,4.49369E-4,7.44869E-4,1.22640E-3,1.98164E-3,3.12672E-3,4.75656E-3,6.86251E-3
8.58586E-2,4.55445E-4,7.55796E-4,1.24612E-3,2.01804E-3,3.19498E-3,4.88538E-3,7.09963E-3
9.09091E-2,4.60725E-4,7.65402E-4,1.26387E-3,2.05098E-3,3.25640E-3,5.00200E-3,7.31771E-3
9.59596E-2,4.65470E-4,7.73987E-4,1.27966E-3,2.08002E-3,3.31178E-3,5.10779E-3,7.51777E-3
1.01010E-1,4.69630E-4,7.81756E-4,1.29386E-3,2.10631E-3,3.36115E-3,5.20299E-3,7.70217E-3
1.06061E-1,4.73431E-4,7.88693E-4,1.30662E-3,2.12994E-3,3.40615E-3,5.29044E-3,7.87158E-3
1.11111E-1,4.76885E-4,7.94993E-4,1.31815E-3,2.15170E-3,3.44659E-3,5.36984E-3,8.02688E-3
1.16162E-1,4.80014E-4,8.00740E-4,1.32880E-3,2.17146E-3,3.48430E-3,5.44287E-3,8.16995E-3
1.21212E-1,4.82885E-4,8.05997E-4,1.33868E-3,2.18915E-3,3.51845E-3,5.50929E-3,8.30149E-3
1.26263E-1,4.85515E-4,8.10915E-4,1.34758E-3,2.20636E-3,3.55036E-3,5.57046E-3,8.42296E-3
