Matavo anoniminis tinginys

Usd,Isd
V,A
 ,Usg=4.30E+0V,Usg=4.37E+0V,Usg=4.43E+0V,Usg=4.50E+0V,Usg=4.57E+0V,Usg=4.63E+0V,Usg=4.70E+0V
0.00000E+0,1.00422E-6,1.34591E-6,1.97088E-6,2.24825E-6,3.36108E-6,3.97482E-6,4.22208E-6
5.05051E-3,7.26704E-5,1.14944E-4,1.76690E-4,2.60039E-4,3.65665E-4,4.85101E-4,6.06752E-4
1.01010E-2,1.34000E-4,2.12988E-4,3.30147E-4,4.91635E-4,6.99130E-4,9.37045E-4,1.18502E-3
1.51515E-2,1.86286E-4,2.97826E-4,4.65180E-4,6.99799E-4,1.00725E-3,1.36572E-3,1.74230E-3
2.02020E-2,2.30776E-4,3.70874E-4,5.83542E-4,8.86186E-4,1.28900E-3,1.76766E-3,2.27676E-3
2.52525E-2,2.68634E-4,4.33790E-4,6.86865E-4,1.05328E-3,1.54597E-3,2.14350E-3,2.78890E-3
3.03030E-2,3.00806E-4,4.87712E-4,7.76780E-4,1.20070E-3,1.77935E-3,2.49393E-3,3.27758E-3
3.53535E-2,3.28147E-4,5.34031E-4,8.54887E-4,1.33097E-3,1.99043E-3,2.81889E-3,3.74289E-3
4.04040E-2,3.51381E-4,5.73731E-4,9.22715E-4,1.44585E-3,2.18020E-3,3.11949E-3,4.18462E-3
4.54545E-2,3.71219E-4,6.07768E-4,9.81421E-4,1.54678E-3,2.35103E-3,3.39633E-3,4.60165E-3
5.05051E-2,3.88136E-4,6.36990E-4,1.03352E-3,1.63576E-3,2.50374E-3,3.65015E-3,4.99476E-3
5.55556E-2,4.02561E-4,6.62205E-4,1.07767E-3,1.71374E-3,2.63978E-3,3.88141E-3,5.36374E-3
6.06061E-2,4.14923E-4,6.83890E-4,1.11608E-3,1.78192E-3,2.76158E-3,4.09284E-3,5.70886E-3
6.56566E-2,4.25547E-4,7.02717E-4,1.14958E-3,1.84206E-3,2.87011E-3,4.28451E-3,6.03045E-3
7.07071E-2,4.34733E-4,7.18962E-4,1.17875E-3,1.89491E-3,2.96677E-3,4.45851E-3,6.32967E-3
7.57576E-2,4.42680E-4,7.33076E-4,1.20418E-3,1.94169E-3,3.05269E-3,4.61596E-3,6.60723E-3
8.08081E-2,4.49630E-4,7.45402E-4,1.22665E-3,1.98290E-3,3.12935E-3,4.75860E-3,6.86419E-3
8.58586E-2,4.55645E-4,7.56380E-4,1.24654E-3,2.01941E-3,3.19759E-3,4.88786E-3,7.10130E-3
9.09091E-2,4.61002E-4,7.66015E-4,1.26413E-3,2.05234E-3,3.25909E-3,5.00392E-3,7.31923E-3
9.59596E-2,4.65695E-4,7.74660E-4,1.27996E-3,2.08165E-3,3.31403E-3,5.10988E-3,7.52039E-3
1.01010E-1,4.69939E-4,7.82314E-4,1.29400E-3,2.10798E-3,3.36413E-3,5.20562E-3,7.70476E-3
1.06061E-1,4.73657E-4,7.89312E-4,1.30675E-3,2.13174E-3,3.40890E-3,5.29264E-3,7.87472E-3
1.11111E-1,4.77068E-4,7.95625E-4,1.31850E-3,2.15322E-3,3.44998E-3,5.37189E-3,8.03066E-3
1.16162E-1,4.80258E-4,8.01294E-4,1.32912E-3,2.17287E-3,3.48761E-3,5.44496E-3,8.17404E-3
1.21212E-1,4.83121E-4,8.06589E-4,1.33889E-3,2.19113E-3,3.52221E-3,5.51194E-3,8.30635E-3
1.26263E-1,4.85763E-4,8.11551E-4,1.34788E-3,2.20797E-3,3.55353E-3,5.57299E-3,8.42814E-3
1.31313E-1,4.88214E-4,8.15998E-4,1.35610E-3,2.22353E-3,3.58325E-3,5.63004E-3,8.54090E-3
1.36364E-1,4.90483E-4,8.20029E-4,1.36407E-3,2.23798E-3,3.61076E-3,5.68251E-3,8.64567E-3
1.41414E-1,4.92606E-4,8.24079E-4,1.37135E-3,2.25163E-3,3.63595E-3,5.73181E-3,8.74251E-3
1.46465E-1,4.94674E-4,8.27817E-4,1.37834E-3,2.26457E-3,3.66028E-3,5.77757E-3,8.83286E-3
1.51515E-1,4.96511E-4,8.31356E-4,1.38492E-3,2.27663E-3,3.68319E-3,5.82077E-3,8.91722E-3
1.56566E-1,4.98334E-4,8.34828E-4,1.39121E-3,2.28828E-3,3.70433E-3,5.86193E-3,8.99615E-3
1.61616E-1,5.00116E-4,8.38163E-4,1.39718E-3,2.29950E-3,3.72494E-3,5.90018E-3,9.07093E-3
1.66667E-1,5.01765E-4,8.41275E-4,1.40290E-3,2.31013E-3,3.74466E-3,5.93627E-3,9.14086E-3
1.71717E-1,5.03377E-4,8.44239E-4,1.40837E-3,2.32003E-3,3.76326E-3,5.97128E-3,9.20672E-3
1.76768E-1,5.04860E-4,8.47101E-4,1.41382E-3,2.32956E-3,3.78085E-3,6.00470E-3,9.26970E-3
1.81818E-1,5.06394E-4,8.49825E-4,1.41902E-3,2.33882E-3,3.79796E-3,6.03633E-3,9.32987E-3
1.86869E-1,5.07821E-4,8.52527E-4,1.42403E-3,2.34814E-3,3.81509E-3,6.06641E-3,9.38727E-3
1.91919E-1,5.09209E-4,8.55134E-4,1.42862E-3,2.35697E-3,3.83077E-3,6.09571E-3,9.44291E-3
1.96970E-1,5.10591E-4,8.57716E-4,1.43316E-3,2.36552E-3,3.84639E-3,6.12382E-3,9.49468E-3
2.02020E-1,5.11910E-4,8.60095E-4,1.43763E-3,2.37373E-3,3.86119E-3,6.15123E-3,9.54530E-3
2.07071E-1,5.13179E-4,8.62483E-4,1.44198E-3,2.38170E-3,3.87596E-3,6.17728E-3,9.59481E-3
2.12121E-1,5.14454E-4,8.64786E-4,1.44639E-3,2.38963E-3,3.88994E-3,6.20336E-3,9.64115E-3
2.17172E-1,5.15645E-4,8.67180E-4,1.45054E-3,2.39710E-3,3.90331E-3,6.22879E-3,9.68765E-3
2.22222E-1,5.16831E-4,8.69426E-4,1.45449E-3,2.40443E-3,3.91671E-3,6.25202E-3,9.73043E-3
2.27273E-1,5.18012E-4,8.71497E-4,1.45835E-3,2.41179E-3,3.92973E-3,6.27555E-3,9.77339E-3
2.32323E-1,5.19171E-4,8.73664E-4,1.46224E-3,2.41867E-3,3.94257E-3,6.29837E-3,9.81418E-3
2.37374E-1,5.20317E-4,8.75824E-4,1.46601E-3,2.42566E-3,3.95472E-3,6.32066E-3,9.85244E-3
2.42424E-1,5.21439E-4,8.77818E-4,1.46975E-3,2.43232E-3,3.96713E-3,6.34259E-3,9.89220E-3
2.47475E-1,5.22516E-4,8.79816E-4,1.47338E-3,2.43880E-3,3.97874E-3,6.36325E-3,9.93069E-3
2.52525E-1,5.23568E-4,8.81754E-4,1.47690E-3,2.44548E-3,3.99018E-3,6.38413E-3,9.96773E-3
2.57576E-1,5.24650E-4,8.83608E-4,1.48043E-3,2.45173E-3,4.00165E-3,6.40493E-3,1.00029E-2
2.62626E-1,5.25560E-4,8.85509E-4,1.48395E-3,2.45807E-3,4.01275E-3,6.42413E-3,1.00381E-2
2.67677E-1,5.26617E-4,8.87298E-4,1.48739E-3,2.46393E-3,4.02350E-3,6.44273E-3,1.00721E-2
