Matavo anoniminis tinginys

Usd,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usg=4.30E+0V,Usg=4.37E+0V,Usg=4.43E+0V,Usg=4.50E+0V,Usg=4.57E+0V,Usg=4.63E+0V,Usg=4.70E+0V
0.00000E+0,9.27146E-7,1.46711E-6,1.17308E-6,1.83021E-6,2.39354E-6,3.37899E-6,3.67742E-6
5.05051E-3,7.07215E-5,1.14720E-4,1.75962E-4,2.59504E-4,3.64348E-4,4.83374E-4,6.05051E-4
1.01010E-2,1.33932E-4,2.12935E-4,3.29743E-4,4.91478E-4,6.97553E-4,9.35396E-4,1.18264E-3
1.51515E-2,1.86333E-4,2.97955E-4,4.65237E-4,7.00093E-4,1.00627E-3,1.36365E-3,1.73902E-3
2.02020E-2,2.30988E-4,3.71244E-4,5.84035E-4,8.86991E-4,1.28854E-3,1.76567E-3,2.27314E-3
2.52525E-2,2.68990E-4,4.34226E-4,6.87761E-4,1.05442E-3,1.54607E-3,2.14182E-3,2.78481E-3
3.03030E-2,3.01262E-4,4.88492E-4,7.78076E-4,1.20242E-3,1.78006E-3,2.49241E-3,3.27351E-3
3.53535E-2,3.28769E-4,5.35063E-4,8.56656E-4,1.33305E-3,1.99171E-3,2.81821E-3,3.73861E-3
4.04040E-2,3.52184E-4,5.74958E-4,9.24820E-4,1.44815E-3,2.18243E-3,3.11963E-3,4.18018E-3
4.54545E-2,3.72085E-4,6.09181E-4,9.83966E-4,1.54973E-3,2.35372E-3,3.39712E-3,4.59824E-3
5.05051E-2,3.89039E-4,6.38586E-4,1.03607E-3,1.63882E-3,2.50714E-3,3.65147E-3,4.99181E-3
5.55556E-2,4.03584E-4,6.63884E-4,1.08046E-3,1.71706E-3,2.64393E-3,3.88379E-3,5.36124E-3
6.06061E-2,4.16049E-4,6.85680E-4,1.11895E-3,1.78568E-3,2.76567E-3,4.09602E-3,5.70714E-3
6.56566E-2,4.26708E-4,7.04492E-4,1.15266E-3,1.84592E-3,2.87443E-3,4.28854E-3,6.03044E-3
7.07071E-2,4.35880E-4,7.20813E-4,1.18197E-3,1.89909E-3,2.97097E-3,4.46282E-3,6.33003E-3
7.57576E-2,4.43930E-4,7.35065E-4,1.20770E-3,1.94593E-3,3.05746E-3,4.62120E-3,6.60840E-3
8.08081E-2,4.50871E-4,7.47623E-4,1.23029E-3,1.98769E-3,3.13500E-3,4.76450E-3,6.86647E-3
8.58586E-2,4.56968E-4,7.58515E-4,1.25040E-3,2.02456E-3,3.20362E-3,4.89381E-3,7.10424E-3
9.09091E-2,4.62420E-4,7.68277E-4,1.26821E-3,2.05732E-3,3.26513E-3,5.01132E-3,7.32294E-3
9.59596E-2,4.67161E-4,7.76919E-4,1.28407E-3,2.08680E-3,3.32045E-3,5.11823E-3,7.52449E-3
1.01010E-1,4.71419E-4,7.84677E-4,1.29826E-3,2.11349E-3,3.37059E-3,5.21462E-3,7.70937E-3
1.06061E-1,4.75176E-4,7.91668E-4,1.31105E-3,2.13724E-3,3.41593E-3,5.30256E-3,7.87962E-3
1.11111E-1,4.78672E-4,7.97966E-4,1.32283E-3,2.15882E-3,3.45750E-3,5.38273E-3,8.03632E-3
1.16162E-1,4.81832E-4,8.03787E-4,1.33352E-3,2.17873E-3,3.49509E-3,5.45618E-3,8.18091E-3
1.21212E-1,4.84725E-4,8.09009E-4,1.34327E-3,2.19682E-3,3.52984E-3,5.52264E-3,8.31329E-3
1.26263E-1,4.87375E-4,8.13956E-4,1.35231E-3,2.21403E-3,3.56184E-3,5.58459E-3,8.43521E-3
1.31313E-1,4.89866E-4,8.18420E-4,1.36086E-3,2.22970E-3,3.59140E-3,5.64193E-3,8.54843E-3
1.36364E-1,4.92177E-4,8.22669E-4,1.36877E-3,2.24434E-3,3.61837E-3,5.69444E-3,8.65319E-3
1.41414E-1,4.94261E-4,8.26783E-4,1.37611E-3,2.25822E-3,3.64449E-3,5.74359E-3,8.75018E-3
1.46465E-1,4.96334E-4,8.30550E-4,1.38292E-3,2.27139E-3,3.66840E-3,5.78943E-3,8.84197E-3
1.51515E-1,4.98231E-4,8.34128E-4,1.38972E-3,2.28361E-3,3.69119E-3,5.83332E-3,8.92695E-3
1.56566E-1,5.00103E-4,8.37507E-4,1.39583E-3,2.29524E-3,3.71277E-3,5.87421E-3,9.00578E-3
1.61616E-1,5.01892E-4,8.40652E-4,1.40190E-3,2.30624E-3,3.73343E-3,5.91284E-3,9.08086E-3
1.66667E-1,5.03577E-4,8.43798E-4,1.40755E-3,2.31678E-3,3.75332E-3,5.94929E-3,9.15232E-3
1.71717E-1,5.05239E-4,8.46736E-4,1.41300E-3,2.32702E-3,3.77195E-3,5.98393E-3,9.21830E-3
1.76768E-1,5.06801E-4,8.49623E-4,1.41839E-3,2.33683E-3,3.79005E-3,6.01724E-3,9.28197E-3
1.81818E-1,5.08274E-4,8.52409E-4,1.42360E-3,2.34608E-3,3.80703E-3,6.04848E-3,9.34058E-3
1.86869E-1,5.09731E-4,8.55097E-4,1.42861E-3,2.35518E-3,3.82395E-3,6.07935E-3,9.39850E-3
1.91919E-1,5.11143E-4,8.57678E-4,1.43320E-3,2.36400E-3,3.84006E-3,6.10831E-3,9.45360E-3
1.96970E-1,5.12539E-4,8.60243E-4,1.43778E-3,2.37241E-3,3.85588E-3,6.13708E-3,9.50596E-3
2.02020E-1,5.13879E-4,8.62653E-4,1.44228E-3,2.38093E-3,3.87051E-3,6.16421E-3,9.55650E-3
2.07071E-1,5.15097E-4,8.65032E-4,1.44656E-3,2.38896E-3,3.88507E-3,6.19064E-3,9.60554E-3
2.12121E-1,5.16362E-4,8.67391E-4,1.45108E-3,2.39703E-3,3.89968E-3,6.21602E-3,9.65288E-3
2.17172E-1,5.17636E-4,8.69734E-4,1.45534E-3,2.40505E-3,3.91349E-3,6.24144E-3,9.69836E-3
2.22222E-1,5.18856E-4,8.71940E-4,1.45928E-3,2.41232E-3,3.92686E-3,6.26454E-3,9.74258E-3
2.27273E-1,5.20028E-4,8.74133E-4,1.46324E-3,2.41938E-3,3.93984E-3,6.28806E-3,9.78452E-3
