Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usd=20.00E+0V
4.00000E+0,6.44392E-5
4.00606E+0,6.78008E-5
4.01212E+0,7.13201E-5
4.01818E+0,7.50187E-5
4.02424E+0,7.86820E-5
4.03030E+0,8.27384E-5
4.03636E+0,8.70002E-5
4.04242E+0,9.15084E-5
4.04848E+0,9.62457E-5
4.05455E+0,1.01224E-4
4.06061E+0,1.06463E-4
4.06667E+0,1.11964E-4
4.07273E+0,1.17741E-4
4.07879E+0,1.23837E-4
4.08485E+0,1.30250E-4
4.09091E+0,1.36976E-4
4.09697E+0,1.44048E-4
4.10303E+0,1.51472E-4
4.10909E+0,1.59302E-4
4.11515E+0,1.67546E-4
4.12121E+0,1.76186E-4
4.12727E+0,1.85288E-4
4.13333E+0,1.94860E-4
4.13939E+0,2.04919E-4
4.14545E+0,2.15476E-4
4.15152E+0,2.26597E-4
4.15758E+0,2.38233E-4
4.16364E+0,2.50440E-4
4.16970E+0,2.63333E-4
4.17576E+0,2.76862E-4
4.18182E+0,2.91138E-4
4.18788E+0,3.06098E-4
4.19394E+0,3.21763E-4
4.20000E+0,3.38299E-4
4.20606E+0,3.55779E-4
4.21212E+0,3.74047E-4
4.21818E+0,3.93201E-4
4.22424E+0,4.13412E-4
4.23030E+0,4.34577E-4
4.23636E+0,4.56786E-4
4.24242E+0,4.80174E-4
4.24848E+0,5.04617E-4
4.25455E+0,5.30417E-4
4.26061E+0,5.57471E-4
4.26667E+0,5.85974E-4
4.27273E+0,6.15844E-4
4.27879E+0,6.47113E-4
4.28485E+0,6.79963E-4
4.29091E+0,7.14579E-4
4.29697E+0,7.50830E-4
4.30303E+0,7.88886E-4
4.30909E+0,8.28966E-4
4.31515E+0,8.70954E-4
4.32121E+0,9.14838E-4
4.32727E+0,9.60880E-4
4.33333E+0,1.01046E-3
4.33939E+0,1.06140E-3
4.34545E+0,1.11462E-3
4.35152E+0,1.17068E-3
4.35758E+0,1.22932E-3
4.36364E+0,1.29094E-3
4.36970E+0,1.35565E-3
4.37576E+0,1.42328E-3
4.38182E+0,1.49425E-3
4.38788E+0,1.56864E-3
4.39394E+0,1.64669E-3
4.40000E+0,1.72866E-3
4.40606E+0,1.81426E-3
4.41212E+0,1.90424E-3
4.41818E+0,1.99860E-3
4.42424E+0,2.09689E-3
4.43030E+0,2.20024E-3
4.43636E+0,2.30831E-3
4.44242E+0,2.42134E-3
4.44848E+0,2.53969E-3
4.45455E+0,2.66372E-3
4.46061E+0,2.79342E-3
4.46667E+0,2.92903E-3
4.47273E+0,3.07053E-3
4.47879E+0,3.21901E-3
4.48485E+0,3.37415E-3
4.49091E+0,3.53614E-3
4.49697E+0,3.70605E-3
4.50303E+0,3.88337E-3
4.50909E+0,4.06852E-3
4.51515E+0,4.26213E-3
4.52121E+0,4.46557E-3
4.52727E+0,4.67730E-3
4.53333E+0,4.89839E-3
4.53939E+0,5.12950E-3
4.54545E+0,5.37023E-3
4.55152E+0,5.62173E-3
4.55758E+0,5.88443E-3
4.56364E+0,6.15777E-3
4.56970E+0,6.44309E-3
4.57576E+0,6.74116E-3
4.58182E+0,7.05118E-3
4.58788E+0,7.37484E-3
4.59394E+0,7.69438E-3
4.60000E+0,8.04599E-3
