Matavo anoniminis tinginys

Usd,Isd
V,A
 ,Usg=4.40E+0V,Usg=4.47E+0V,Usg=4.54E+0V,Usg=4.62E+0V,Usg=4.69E+0V,Usg=4.76E+0V,Usg=4.83E+0V
0.00000E+0,1.60128E-6,2.15296E-6,2.95830E-6,3.35376E-6,3.80212E-6,1.98443E-6,1.99300E-6
1.26263E-2,3.03426E-4,4.48564E-4,6.19889E-4,7.92869E-4,2.08466E-6,2.66566E-6,2.49151E-6
2.52525E-2,5.31923E-4,8.11219E-4,1.15807E-3,1.52171E-3,1.85254E-3,2.11627E-3,2.30069E-3
3.78788E-2,7.00012E-4,1.09768E-3,1.61493E-3,2.18362E-3,2.71244E-3,3.13422E-3,3.42690E-3
5.05051E-2,8.20988E-4,1.31606E-3,1.99206E-3,2.77412E-3,3.52325E-3,4.12337E-3,4.53628E-3
6.31313E-2,9.07178E-4,1.47957E-3,2.29541E-3,3.28961E-3,4.27945E-3,5.08043E-3,5.62752E-3
7.57576E-2,9.68686E-4,1.60064E-3,2.53399E-3,3.72970E-3,4.97606E-3,6.00110E-3,6.69912E-3
8.83838E-2,1.01438E-3,1.69068E-3,2.71950E-3,4.09832E-3,5.60928E-3,6.88410E-3,7.74977E-3
1.01010E-1,1.04729E-3,1.75815E-3,2.86263E-3,4.40129E-3,6.17596E-3,7.72404E-3,8.77762E-3
1.13636E-1,1.07274E-3,1.81001E-3,2.97400E-3,4.64754E-3,6.67468E-3,8.51741E-3,9.77833E-3
1.26263E-1,1.09282E-3,1.85091E-3,3.06255E-3,4.84646E-3,7.10792E-3,9.26140E-3,1.07548E-2
1.38889E-1,1.10938E-3,1.88476E-3,3.13428E-3,5.00894E-3,7.47902E-3,9.95145E-3,1.17017E-2
1.51515E-1,1.12336E-3,1.91303E-3,3.19400E-3,5.14215E-3,7.79498E-3,1.05871E-2,1.26183E-2
1.64141E-1,1.13558E-3,1.93743E-3,3.24464E-3,5.25412E-3,8.06315E-3,1.11649E-2,1.35011E-2
1.76768E-1,1.14663E-3,1.95922E-3,3.28889E-3,5.35001E-3,8.29057E-3,1.16860E-2,1.43508E-2
1.89394E-1,1.15649E-3,1.97894E-3,3.32886E-3,5.43324E-3,8.48567E-3,1.21518E-2,1.51629E-2
2.02020E-1,1.16567E-3,1.99697E-3,3.36500E-3,5.50750E-3,8.65382E-3,1.25639E-2,1.59339E-2
2.14646E-1,1.17424E-3,2.01379E-3,3.39779E-3,5.57434E-3,8.80246E-3,1.29316E-2,1.66655E-2
2.27273E-1,1.18222E-3,2.02898E-3,3.42827E-3,5.63604E-3,8.93531E-3,1.32558E-2,1.73568E-2
2.39899E-1,1.18988E-3,2.04380E-3,3.45665E-3,5.69271E-3,9.05491E-3,1.35429E-2,1.80020E-2
2.52525E-1,1.19703E-3,2.05763E-3,3.48380E-3,5.74564E-3,9.16465E-3,1.38002E-2,1.86015E-2
2.65152E-1,1.20400E-3,2.07055E-3,3.50922E-3,5.79538E-3,9.26533E-3,1.40311E-2,1.91566E-2
2.77778E-1,1.21041E-3,2.08291E-3,3.53297E-3,5.84166E-3,9.35938E-3,1.42406E-2,1.96672E-2
2.90404E-1,1.21674E-3,2.09488E-3,3.55579E-3,5.88573E-3,9.44726E-3,1.44328E-2,2.01352E-2
3.03030E-1,1.22265E-3,2.10625E-3,3.57731E-3,5.92719E-3,9.52944E-3,1.46081E-2,2.05636E-2
3.15657E-1,1.22840E-3,2.11701E-3,3.59822E-3,5.96700E-3,9.60717E-3,1.47725E-2,2.09578E-2
3.28283E-1,1.23390E-3,2.12742E-3,3.61755E-3,6.00503E-3,9.68130E-3,1.49246E-2,2.13196E-2
3.40909E-1,1.23916E-3,2.13746E-3,3.63674E-3,6.04072E-3,9.75010E-3,1.50672E-2,2.16532E-2
3.53535E-1,1.24411E-3,2.14708E-3,3.65487E-3,6.07472E-3,9.81617E-3,1.52019E-2,2.19609E-2
3.66162E-1,1.24881E-3,2.15640E-3,3.67207E-3,6.10834E-3,9.87889E-3,1.53299E-2,2.22457E-2
3.78788E-1,1.25353E-3,2.16535E-3,3.68858E-3,6.13944E-3,9.93904E-3,1.54506E-2,2.25115E-2
3.91414E-1,1.25830E-3,2.17408E-3,3.70461E-3,6.16957E-3,9.99783E-3,1.55647E-2,2.27610E-2
4.04040E-1,1.26254E-3,2.18216E-3,3.72039E-3,6.19827E-3,1.00531E-2,1.56758E-2,2.29933E-2
4.16667E-1,1.26685E-3,2.19021E-3,3.73548E-3,6.22608E-3,1.01061E-2,1.57809E-2,2.32145E-2
4.29293E-1,1.27101E-3,2.19779E-3,3.74972E-3,6.25367E-3,1.01555E-2,1.58794E-2,2.34221E-2
4.41919E-1,1.27499E-3,2.20539E-3,3.76368E-3,6.27916E-3,1.02053E-2,1.59763E-2,2.36237E-2
4.54545E-1,1.27892E-3,2.21264E-3,3.77757E-3,6.30470E-3,1.02525E-2,1.60663E-2,2.38098E-2
4.67172E-1,1.28267E-3,2.21953E-3,3.79058E-3,6.32863E-3,1.02969E-2,1.61547E-2,2.39892E-2
4.79798E-1,1.28635E-3,2.22629E-3,3.80327E-3,6.35281E-3,1.03415E-2,1.62388E-2,2.41613E-2
4.92424E-1,1.28985E-3,2.23301E-3,3.81608E-3,6.37482E-3,1.03828E-2,1.63203E-2,2.43240E-2
5.05051E-1,1.29325E-3,2.23974E-3,3.82802E-3,6.39745E-3,1.04238E-2,1.63968E-2,2.44799E-2
5.17677E-1,1.29644E-3,2.24611E-3,3.83971E-3,6.41915E-3,1.04632E-2,1.64718E-2,2.46291E-2
5.30303E-1,1.29974E-3,2.25219E-3,3.85113E-3,6.43981E-3,1.05016E-2,1.65427E-2,2.47737E-2
5.42929E-1,1.30302E-3,2.25793E-3,3.86230E-3,6.45985E-3,1.05392E-2,1.66134E-2,2.49117E-2
5.55556E-1,1.30604E-3,2.26364E-3,3.87279E-3,6.47968E-3,1.05748E-2,1.66801E-2,2.50483E-2
5.68182E-1,1.30921E-3,2.26965E-3,3.88292E-3,6.49929E-3,1.06092E-2,1.67458E-2,2.51753E-2
5.80808E-1,1.31229E-3,2.27516E-3,3.89340E-3,6.51763E-3,1.06442E-2,1.68088E-2,2.52993E-2
5.93434E-1,1.31534E-3,2.28055E-3,3.90302E-3,6.53544E-3,1.06768E-2,1.68712E-2,2.54204E-2
6.06061E-1,1.31823E-3,2.28602E-3,3.91274E-3,6.55327E-3,1.07092E-2,1.69293E-2,2.55338E-2
6.18687E-1,1.32101E-3,2.29130E-3,3.92227E-3,6.56985E-3,1.07391E-2,1.69874E-2,2.56449E-2
6.31313E-1,1.32374E-3,2.29625E-3,3.93151E-3,6.58728E-3,1.07692E-2,1.70438E-2,2.57520E-2
